Serial number,time,size,direction
1,1543265165.4927902,100,1
2,1543265165.498508,100,-1
3,1543265165.5415537,60,1
4,1543265178.6081836,286,-1
5,1543265178.6085706,190,-1
6,1543265178.6149752,1514,-1
7,1543265178.6169271,1514,-1
8,1543265178.6169696,1514,-1
9,1543265178.6170042,1514,-1
10,1543265178.6471257,60,1
11,1543265178.6474397,79,-1
12,1543265178.6492093,1514,-1
13,1543265178.6530764,60,1
14,1543265178.6547966,1514,-1
15,1543265178.6610491,60,1
16,1543265178.6613543,60,1
17,1543265178.6617217,60,1
18,1543265178.6617236,60,1
19,1543265178.6640837,1514,-1
20,1543265178.664449,921,-1
21,1543265178.6735785,127,-1
22,1543265178.6830184,74,-1
23,1543265178.688108,60,1
24,1543265178.6930413,60,1
25,1543265178.702523,60,1
26,1543265178.7148013,1514,-1
27,1543265178.7152643,1514,-1
28,1543265178.7167995,1514,-1
29,1543265178.71684,1392,-1
30,1543265178.7214189,66,-1
31,1543265178.7231336,54,-1
32,1543265178.724715,312,-1
33,1543265178.732714,172,-1
34,1543265178.7453606,172,-1
35,1543265178.7545345,60,1
36,1543265178.759352,172,-1
37,1543265178.7624826,60,1
38,1543265178.7624853,60,1
39,1543265178.7631583,96,1
40,1543265178.7645597,60,-1
41,1543265178.7665672,60,-1
42,1543265178.7665691,191,-1
43,1543265178.7690494,146,1
44,1543265178.7690518,92,1
45,1543265178.7727506,54,-1
46,1543265178.7731583,54,-1
47,1543265178.7733095,105,-1
48,1543265178.7835374,60,1
49,1543265178.795074,172,-1
50,1543265178.8081863,172,-1
51,1543265178.822286,172,-1
52,1543265178.8327491,60,1
53,1543265178.8431137,172,-1
54,1543265178.8569503,60,-1
55,1543265178.8589451,768,-1
56,1543265178.8600576,60,1
57,1543265178.8713799,172,-1
58,1543265178.8852668,172,-1
59,1543265178.8981388,60,-1
60,1543265178.9046946,417,-1
61,1543265178.9063206,172,-1
62,1543265178.906714,85,-1
63,1543265178.9070027,54,-1
64,1543265178.9088824,60,1
65,1543265178.9205701,172,-1
66,1543265178.9448478,60,1
67,1543265178.9470508,60,-1
68,1543265178.9487522,54,-1
69,1543265178.9549942,172,-1
70,1543265178.9702866,172,-1
71,1543265178.9832957,172,-1
72,1543265178.9929335,60,1
73,1543265178.9971392,172,-1
74,1543265179.0295057,60,1
75,1543265179.033071,172,-1
76,1543265179.0455663,172,-1
77,1543265179.0662303,172,-1
78,1543265179.0703104,60,1
79,1543265179.0804434,172,-1
80,1543265179.1044781,60,1
81,1543265179.1319668,172,-1
82,1543265179.1321783,286,-1
83,1543265179.1321986,172,-1
84,1543265179.1336985,190,-1
85,1543265179.133717,1514,-1
86,1543265179.1718307,60,1
87,1543265179.171833,60,1
88,1543265179.176705,1514,-1
89,1543265179.177031,1514,-1
90,1543265179.1775692,60,1
91,1543265179.1781573,181,-1
92,1543265179.1918309,172,-1
93,1543265179.207429,172,-1
94,1543265179.2158868,60,1
95,1543265179.2272666,172,-1
96,1543265179.2304845,60,1
97,1543265179.2409916,172,-1
98,1543265179.2668722,60,1
99,1543265179.2688217,172,-1
100,1543265179.290243,172,-1
101,1543265179.3039682,145,1
102,1543265179.30397,92,1
103,1543265179.3042269,172,-1
104,1543265179.3058465,54,-1
105,1543265179.3178692,172,-1
106,1543265179.327354,60,1
107,1543265179.3531306,172,-1
108,1543265179.3584893,60,1
109,1543265179.3670073,172,-1
110,1543265179.38122,172,-1
111,1543265179.4022236,172,-1
112,1543265179.4066992,60,1
113,1543265179.4299588,172,-1
114,1543265179.4398131,60,1
115,1543265179.451134,172,-1
116,1543265179.465224,172,-1
117,1543265179.4790382,172,-1
118,1543265179.4929454,60,1
119,1543265179.514722,172,-1
120,1543265179.5175562,60,1
121,1543265179.5417886,172,-1
122,1543265179.5439243,172,-1
123,1543265179.5635011,172,-1
124,1543265179.58018,60,1
125,1543265179.591369,172,-1
126,1543265179.6050973,172,-1
127,1543265179.60649,60,1
128,1543265179.6261344,172,-1
129,1543265179.640839,172,-1
130,1543265179.642994,60,1
131,1543265179.675065,172,-1
132,1543265179.6811874,60,1
133,1543265179.6892347,172,-1
134,1543265179.7042418,172,-1
135,1543265179.7170997,172,-1
136,1543265179.7273693,60,1
137,1543265179.7520766,172,-1
138,1543265179.7580411,60,1
139,1543265179.7664175,172,-1
140,1543265179.7872305,172,-1
141,1543265179.8053772,60,1
142,1543265179.8320732,172,-1
143,1543265179.832305,172,-1
144,1543265179.8500683,172,-1
145,1543265179.863931,172,-1
146,1543265179.87083,60,1
147,1543265179.8781815,172,-1
148,1543265179.891994,60,1
149,1543265179.9129014,172,-1
150,1543265179.9183686,60,1
151,1543265179.9269521,172,-1
152,1543265179.953323,172,-1
153,1543265179.9620378,172,-1
154,1543265179.9657295,60,1
155,1543265179.9900713,172,-1
156,1543265180.002949,60,1
157,1543265180.0114048,172,-1
158,1543265180.0249794,172,-1
159,1543265180.039252,172,-1
160,1543265180.052055,60,1
161,1543265180.0742362,172,-1
162,1543265180.0787241,60,1
163,1543265180.0880437,172,-1
164,1543265180.101991,172,-1
165,1543265180.1244123,172,-1
166,1543265180.1339283,60,1
167,1543265180.152041,172,-1
168,1543265180.1640027,60,1
169,1543265180.1659358,172,-1
170,1543265180.187351,172,-1
171,1543265180.2000709,172,-1
172,1543265180.2032762,60,1
173,1543265180.2348623,172,-1
174,1543265180.2394772,60,1
