Serial number,time,size,direction
1,1541451026.2299726,100,1
2,1541451026.2361674,100,-1
3,1541451026.2823043,60,1
4,1541451029.9480877,100,-1
5,1541451029.989039,60,1
6,1541451029.9891925,100,1
7,1541451030.0248673,54,-1
8,1541451030.480727,98,-1
9,1541451030.4813385,98,-1
10,1541451030.483054,98,-1
11,1541451030.4834764,98,-1
12,1541451030.4849792,98,-1
13,1541451030.48535,98,-1
14,1541451030.4867742,98,-1
15,1541451030.4871316,98,-1
16,1541451030.4884577,98,-1
17,1541451030.488819,98,-1
18,1541451030.4909375,98,-1
19,1541451030.491439,98,-1
20,1541451030.493006,98,-1
21,1541451030.4934058,98,-1
22,1541451030.500017,98,-1
23,1541451030.500419,98,-1
24,1541451030.501886,98,-1
25,1541451030.5022802,98,-1
26,1541451030.5038502,98,-1
27,1541451030.504206,98,-1
28,1541451030.507735,66,-1
29,1541451030.513307,74,-1
30,1541451030.557291,74,-1
31,1541451030.558846,66,-1
32,1541451030.559385,256,-1
33,1541451030.6080768,66,-1
34,1541451030.6099885,539,-1
35,1541451030.616137,66,-1
36,1541451030.6255972,85,-1
37,1541451030.628692,54,-1
38,1541451030.6585357,153,-1
39,1541451030.662464,74,-1
40,1541451030.6997833,66,-1
41,1541451030.7047126,54,-1
42,1541451030.7061691,200,-1
43,1541451030.747272,60,-1
44,1541451030.7486618,410,-1
45,1541451030.7486641,473,-1
46,1541451030.7522216,54,-1
47,1541451030.75256,54,-1
48,1541451030.7548714,66,-1
49,1541451030.7555788,78,-1
50,1541451030.7798934,473,-1
51,1541451030.7805994,110,-1
52,1541451030.7813432,66,-1
53,1541451030.7866101,90,-1
54,1541451030.877907,54,-1
55,1541451031.0079503,66,-1
56,1541451031.12801,54,-1
57,1541451031.5082083,66,-1
58,1541451031.6279087,54,-1
59,1541451032.506614,66,-1
60,1541451032.627899,54,-1
61,1541451034.5083168,66,-1
62,1541451034.6279557,54,-1
63,1541451037.3521178,287,-1
64,1541451037.352375,190,-1
65,1541451037.3538637,1078,-1
66,1541451037.3549337,1078,-1
67,1541451037.3549724,1078,-1
68,1541451037.3863301,79,-1
69,1541451037.3997583,60,1
70,1541451037.4006355,60,1
71,1541451037.404459,1078,-1
72,1541451037.4066064,1078,-1
73,1541451037.4066517,1078,-1
74,1541451037.4067123,1078,-1
75,1541451037.4067743,1078,-1
76,1541451037.4068418,1078,-1
77,1541451037.4109025,95,-1
78,1541451037.413248,74,-1
79,1541451037.4515219,60,1
80,1541451037.4536135,66,-1
81,1541451037.4536169,60,1
82,1541451037.4567356,1078,-1
83,1541451037.4571257,653,-1
84,1541451037.457165,54,-1
85,1541451037.4582338,312,-1
86,1541451037.4857278,1078,-1
87,1541451037.4874876,1078,-1
88,1541451037.487581,1078,-1
89,1541451037.4876158,1078,-1
90,1541451037.497977,60,1
91,1541451037.4989293,96,1
92,1541451037.5019789,1078,-1
93,1541451037.5024855,972,-1
94,1541451037.502587,54,-1
95,1541451037.5040963,60,-1
96,1541451037.5072613,60,-1
97,1541451037.5072656,191,-1
98,1541451037.5093598,54,-1
99,1541451037.5096037,105,-1
100,1541451037.533868,60,1
101,1541451037.5338714,60,1
102,1541451037.5356364,290,-1
103,1541451037.537609,172,-1
104,1541451037.548078,60,1
105,1541451037.551469,172,-1
106,1541451037.5807495,60,1
107,1541451037.5807533,146,1
108,1541451037.5807571,92,1
109,1541451037.5826685,54,-1
110,1541451037.5828466,54,-1
111,1541451037.5887887,172,-1
112,1541451037.5990193,60,-1
113,1541451037.6007779,172,-1
114,1541451037.601208,765,-1
115,1541451037.6211963,172,-1
116,1541451037.628804,60,1
117,1541451037.6360614,172,-1
118,1541451037.6430902,60,-1
119,1541451037.6500452,419,-1
120,1541451037.6519449,85,-1
121,1541451037.6521406,54,-1
122,1541451037.661577,60,1
123,1541451037.6631405,172,-1
124,1541451037.6844523,172,-1
125,1541451037.6951776,60,-1
126,1541451037.6966739,54,-1
127,1541451037.6987562,172,-1
128,1541451037.7032468,60,1
129,1541451037.7126267,172,-1
130,1541451037.7416737,60,1
131,1541451037.7477486,172,-1
132,1541451037.761831,172,-1
133,1541451037.7758262,172,-1
134,1541451037.7868512,60,1
135,1541451037.7966907,172,-1
136,1541451037.8161938,60,1
137,1541451037.8249967,172,-1
138,1541451037.8390605,172,-1
139,1541451037.8501532,641,-1
140,1541451037.8523343,190,-1
141,1541451037.8524847,1078,-1
142,1541451037.864875,60,1
143,1541451037.8668094,1078,-1
144,1541451037.8681831,1078,-1
145,1541451037.8927689,60,1
146,1541451037.894918,1078,-1
147,1541451037.8962154,354,-1
148,1541451037.906994,60,1
149,1541451037.9084706,172,-1
150,1541451037.922212,172,-1
151,1541451037.9351985,60,1
152,1541451037.936745,172,-1
153,1541451037.9479437,60,1
154,1541451037.9571552,172,-1
155,1541451037.9769044,60,1
156,1541451037.9863477,172,-1
157,1541451038.000267,172,-1
158,1541451038.0203424,172,-1
159,1541451038.0265481,60,1
160,1541451038.0341341,172,-1
161,1541451038.060295,60,1
162,1541451038.0699139,146,1
163,1541451038.0699203,92,1
164,1541451038.086463,172,-1
165,1541451038.086796,172,-1
166,1541451038.0906842,54,-1
167,1541451038.098818,172,-1
168,1541451038.111599,172,-1
169,1541451038.1180446,60,1
170,1541451038.126468,60,1
171,1541451038.1398802,60,1
172,1541451038.1467872,172,-1
173,1541451038.1517189,60,1
174,1541451038.160063,172,-1
175,1541451038.1812608,172,-1
176,1541451038.1947806,60,1
177,1541451038.1950903,172,-1
178,1541451038.2009487,60,1
179,1541451038.2212064,60,1
180,1541451038.2229068,172,-1
181,1541451038.2344456,60,1
182,1541451038.2443092,172,-1
183,1541451038.2581117,172,-1
184,1541451038.2626219,60,1
185,1541451038.2719762,172,-1
186,1541451038.2844243,60,1
187,1541451038.2975938,60,1
188,1541451038.3076365,172,-1
189,1541451038.3120291,60,1
190,1541451038.32232,172,-1
191,1541451038.335474,172,-1
192,1541451038.3471842,60,1
193,1541451038.3567624,172,-1
194,1541451038.3627048,60,1
195,1541451038.3751073,60,1
196,1541451038.3828342,172,-1
197,1541451038.3967519,60,1
198,1541451038.4040112,172,-1
199,1541451038.4184196,172,-1
200,1541451038.422826,60,1
201,1541451038.4322813,172,-1
202,1541451038.4447799,60,1
203,1541451038.467104,172,-1
204,1541451038.4672513,60,1
205,1541451038.4723349,60,1
206,1541451038.4811947,172,-1
207,1541451038.4952557,172,-1
208,1541451038.5068426,60,1
209,1541451038.514689,66,-1
210,1541451038.5161843,172,-1
211,1541451038.5214646,60,1
212,1541451038.5351443,60,1
213,1541451038.5445297,172,-1
214,1541451038.559329,60,1
215,1541451038.5651865,172,-1
216,1541451038.5793002,172,-1
217,1541451038.584433,60,1
218,1541451038.5931337,172,-1
219,1541451038.604879,60,1
220,1541451038.6193705,60,1
221,1541451038.6282635,172,-1
222,1541451038.6333566,60,1
223,1541451038.6345932,54,-1
224,1541451038.6420858,172,-1
225,1541451038.6571524,172,-1
226,1541451038.669325,60,1
227,1541451038.6771278,172,-1
228,1541451038.6818674,60,1
229,1541451038.696836,60,1
230,1541451038.7050014,172,-1
231,1541451038.7169864,60,1
232,1541451038.7195737,172,-1
233,1541451038.7400255,172,-1
234,1541451038.7452288,60,1
235,1541451038.7540622,172,-1
236,1541451038.7596655,60,1
237,1541451038.780938,60,1
238,1541451038.7899785,172,-1
239,1541451038.793687,60,1
240,1541451038.803797,172,-1
241,1541451038.8174741,172,-1
242,1541451038.8296905,60,1
243,1541451038.8332725,172,-1
244,1541451038.8440135,60,1
245,1541451038.8585386,60,1
246,1541451038.8669922,172,-1
247,1541451038.87487,60,1
248,1541451038.8808334,172,-1
249,1541451038.8949451,172,-1
250,1541451038.9077253,60,1
251,1541451038.9152613,172,-1
252,1541451038.920785,60,1
253,1541451038.9359426,60,1
254,1541451038.9432912,172,-1
255,1541451038.9552286,60,1
256,1541451038.9647236,172,-1
257,1541451038.978547,172,-1
258,1541451038.9832602,60,1
259,1541451038.9925063,172,-1
260,1541451039.0049047,60,1
261,1541451039.0185635,60,1
262,1541451039.0273664,172,-1
263,1541451039.0324476,60,1
264,1541451039.0411024,172,-1
265,1541451039.0552113,172,-1
266,1541451039.069812,60,1
267,1541451039.077154,172,-1
268,1541451039.0809288,60,1
269,1541451039.095621,60,1
270,1541451039.1048126,172,-1
271,1541451039.1170256,60,1
272,1541451039.12214,172,-1
273,1541451039.1402779,172,-1
274,1541451039.1447976,60,1
275,1541451039.1529906,172,-1
276,1541451039.162127,60,1
277,1541451039.1799963,60,1
278,1541451039.1881757,172,-1
279,1541451039.193195,60,1
280,1541451039.202314,172,-1
281,1541451039.2162178,172,-1
282,1541451039.2279713,60,1
283,1541451039.2369738,172,-1
284,1541451039.2425556,60,1
285,1541451039.2557466,60,1
286,1541451039.2652981,172,-1
287,1541451039.2769809,60,1
288,1541451039.2792866,172,-1
289,1541451039.3000553,172,-1
290,1541451039.304972,60,1
291,1541451039.3141458,172,-1
292,1541451039.3191965,60,1
293,1541451039.340262,60,1
294,1541451039.3491614,172,-1
295,1541451039.3538158,60,1
296,1541451039.3629172,172,-1
297,1541451039.3773196,172,-1
298,1541451039.38872,60,1
299,1541451039.3911483,172,-1
300,1541451039.4023206,60,1
301,1541451039.4181302,60,1
302,1541451039.4262292,172,-1
303,1541451039.4317443,60,1
304,1541451039.4399774,172,-1
305,1541451039.466915,60,1
306,1541451039.480553,60,1
307,1541451039.4916532,172,-1
308,1541451039.4917886,172,-1
309,1541451039.5038066,172,-1
310,1541451039.5239482,172,-1
