Serial number,time,size,direction
1,1543288842.592049,295,1
2,1543288842.6350489,146,-1
3,1543288842.655555,54,1
4,1543288846.415945,286,1
5,1543288846.4175727,190,1
6,1543288846.427247,1514,1
7,1543288846.429019,1514,1
8,1543288846.4290738,1514,1
9,1543288846.429142,759,1
10,1543288846.4302886,132,1
11,1543288846.4305859,1514,1
12,1543288846.4319928,535,1
13,1543288846.433727,190,1
14,1543288846.4357755,79,1
15,1543288846.454641,60,-1
16,1543288846.458697,1514,1
17,1543288846.4595606,60,-1
18,1543288846.460078,1514,1
19,1543288846.4612443,127,-1
20,1543288846.4616935,1514,1
21,1543288846.4647648,74,1
22,1543288846.4713361,60,-1
23,1543288846.4713383,60,-1
24,1543288846.4722745,60,-1
25,1543288846.4722772,60,-1
26,1543288846.472278,60,-1
27,1543288846.473552,837,1
28,1543288846.4753547,60,-1
29,1543288846.498638,60,-1
30,1543288846.5044353,60,-1
31,1543288846.5064518,66,-1
32,1543288846.510429,1514,1
33,1543288846.510758,1514,1
34,1543288846.5110323,1514,1
35,1543288846.5113187,1514,1
36,1543288846.5113409,54,1
37,1543288846.5120199,332,1
38,1543288846.512038,312,1
39,1543288846.5144515,60,-1
40,1543288846.522858,172,1
41,1543288846.5373676,172,1
42,1543288846.5489836,60,-1
43,1543288846.5574248,60,-1
44,1543288846.557753,172,1
45,1543288846.5579383,60,-1
46,1543288846.5579393,96,-1
47,1543288846.558154,60,-1
48,1543288846.5594285,60,-1
49,1543288846.5594294,191,-1
50,1543288846.5610323,54,1
51,1543288846.5637615,105,1
52,1543288846.5806937,60,-1
53,1543288846.5861344,172,1
54,1543288846.599751,172,1
55,1543288846.6058066,146,-1
56,1543288846.6058078,92,-1
57,1543288846.607991,54,1
58,1543288846.6209195,172,1
59,1543288846.63515,172,1
60,1543288846.637458,60,-1
61,1543288846.6489213,60,-1
62,1543288846.6501992,765,1
63,1543288846.6697066,172,1
64,1543288846.6749198,60,-1
65,1543288846.683842,172,1
66,1543288846.6919472,60,-1
67,1543288846.6978514,172,1
68,1543288846.6993208,417,-1
69,1543288846.7011683,85,1
70,1543288846.7012832,54,1
71,1543288846.7116573,172,1
72,1543288846.7216763,60,-1
73,1543288846.7426164,60,-1
74,1543288846.7438943,54,1
75,1543288846.7466378,172,1
76,1543288846.7522168,60,-1
77,1543288846.760608,172,1
78,1543288846.7814543,172,1
79,1543288846.7955244,172,1
80,1543288846.798307,60,-1
81,1543288846.8236873,172,1
82,1543288846.835601,60,-1
83,1543288846.849862,172,1
84,1543288846.858663,172,1
85,1543288846.8726175,172,1
86,1543288846.8922362,60,-1
87,1543288846.9076076,172,1
88,1543288846.9137974,60,-1
89,1543288846.9215112,172,1
90,1543288846.9304588,286,1
91,1543288846.9311008,190,1
92,1543288846.9322274,1514,1
93,1543288846.9325795,1514,1
94,1543288846.9331448,1514,1
95,1543288846.9331648,462,1
96,1543288846.9331787,136,1
97,1543288846.9335747,92,1
98,1543288846.9362936,172,1
99,1543288846.9587593,60,-1
100,1543288846.9600563,172,1
101,1543288846.972902,60,-1
102,1543288846.9729047,60,-1
103,1543288846.9729056,60,-1
104,1543288846.9756918,60,-1
105,1543288846.99043,172,1
106,1543288847.0001366,60,-1
107,1543288847.0063725,172,1
108,1543288847.0198975,172,1
109,1543288847.0333636,172,1
110,1543288847.044056,60,-1
111,1543288847.068916,172,1
112,1543288847.069468,146,-1
113,1543288847.0694718,92,-1
114,1543288847.0735707,54,1
115,1543288847.0831776,172,1
116,1543288847.0967054,172,1
117,1543288847.1131365,60,-1
118,1543288847.1148088,60,-1
119,1543288847.1179626,172,1
120,1543288847.126707,60,-1
121,1543288847.13928,60,-1
122,1543288847.145314,172,1
123,1543288847.158946,172,1
124,1543288847.1618838,60,-1
125,1543288847.179994,172,1
126,1543288847.1845415,60,-1
127,1543288847.1938505,172,1
128,1543288847.197511,60,-1
129,1543288847.2169762,60,-1
130,1543288847.2292979,172,1
131,1543288847.2354987,60,-1
132,1543288847.2428505,172,1
133,1543288847.2568865,172,1
134,1543288847.2694795,60,-1
135,1543288847.2775202,172,1
136,1543288847.2813056,60,-1
137,1543288847.2977014,60,-1
138,1543288847.305864,172,1
139,1543288847.3153274,60,-1
140,1543288847.3196907,172,1
141,1543288847.340494,172,1
142,1543288847.346997,60,-1
143,1543288847.3548615,172,1
144,1543288847.3613644,60,-1
145,1543288847.3802867,60,-1
146,1543288847.3894286,172,1
147,1543288847.3967693,60,-1
148,1543288847.4036977,172,1
149,1543288847.417812,172,1
150,1543288847.4274967,60,-1
151,1543288847.4318614,172,1
152,1543288847.444816,60,-1
153,1543288847.45577,60,-1
154,1543288847.4665687,172,1
155,1543288847.4750078,60,-1
156,1543288847.480726,172,1
157,1543288847.50158,172,1
158,1543288847.5044835,60,-1
159,1543288847.5156476,172,1
160,1543288847.5191061,60,-1
161,1543288847.539907,60,-1
162,1543288847.555426,172,1
163,1543288847.5609462,60,-1
164,1543288847.5645585,172,1
165,1543288847.5786254,172,1
166,1543288847.5931008,172,1
167,1543288847.5955024,60,-1
168,1543288847.601988,60,-1
169,1543288847.6198254,60,-1
170,1543288847.627583,172,1
171,1543288847.6310327,60,-1
172,1543288847.6416085,172,1
173,1543288847.657805,172,1
174,1543288847.668773,60,-1
175,1543288847.676766,172,1
176,1543288847.680163,60,-1
177,1543288847.6959915,60,-1
178,1543288847.7047079,172,1
179,1543288847.7156625,60,-1
180,1543288847.7190733,172,1
181,1543288847.739235,172,1
182,1543288847.7437837,60,-1
183,1543288847.7537427,172,1
184,1543288847.761344,60,-1
185,1543288847.7801006,60,-1
186,1543288847.7886193,172,1
187,1543288847.7942183,60,-1
188,1543288847.802151,172,1
189,1543288847.8163319,172,1
190,1543288847.8260105,60,-1
191,1543288847.8367918,172,1
192,1543288847.839914,60,-1
193,1543288847.8557236,60,-1
194,1543288847.8644109,172,1
195,1543288847.8764915,60,-1
196,1543288847.8856015,172,1
197,1543288847.8996882,172,1
198,1543288847.9009411,60,-1
199,1543288847.9136055,172,1
200,1543288847.9234014,60,-1
201,1543288847.9374876,60,-1
202,1543288847.9486122,172,1
203,1543288847.951124,60,-1
204,1543288847.9631276,172,1
205,1543288847.9767685,172,1
206,1543288847.9865844,60,-1
207,1543288847.9989042,172,1
208,1543288848.0011342,60,-1
209,1543288848.0164382,60,-1
210,1543288848.0281126,172,1
211,1543288848.0405426,172,1
212,1543288848.043487,60,-1
213,1543288848.06103,172,1
214,1543288848.070513,60,-1
215,1543288848.0749543,172,1
216,1543288848.077528,60,-1
217,1543288848.099054,60,-1
218,1543288848.109564,172,1
219,1543288848.1140938,60,-1
220,1543288848.1238759,172,1
221,1543288848.1375794,172,1
222,1543288848.1480255,60,-1
223,1543288848.1514962,172,1
224,1543288848.1656795,60,-1
225,1543288848.1758134,60,-1
226,1543288848.1863487,172,1
227,1543288848.1895208,60,-1
228,1543288848.2011447,172,1
229,1543288848.221477,172,1
230,1543288848.2250578,60,-1
231,1543288848.2416685,60,-1
232,1543288848.2553074,172,1
233,1543288848.2597725,60,-1
234,1543288848.2637372,172,1
235,1543288848.2845223,172,1
236,1543288848.293732,60,-1
237,1543288848.2985477,172,1
238,1543288848.3034241,60,-1
239,1543288848.3126376,172,1
240,1543288848.3244498,60,-1
