Serial number,time,size,direction
1,1543265795.4921782,100,1
2,1543265795.4979196,100,-1
3,1543265795.5357919,60,1
4,1543265797.7128048,295,-1
5,1543265797.7546175,146,-1
6,1543265797.7590914,54,-1
7,1543265798.530095,287,-1
8,1543265798.5302672,190,-1
9,1543265798.5306084,1514,-1
10,1543265798.5306346,1514,-1
11,1543265798.5306563,1514,-1
12,1543265798.5307217,122,-1
13,1543265798.5355506,132,-1
14,1543265798.5359392,1514,-1
15,1543265798.5397213,79,-1
16,1543265798.571375,60,1
17,1543265798.5716107,60,1
18,1543265798.5716124,60,1
19,1543265798.5716138,60,1
20,1543265798.5717092,60,1
21,1543265798.5730047,1514,-1
22,1543265798.5741801,1514,-1
23,1543265798.5745184,1514,-1
24,1543265798.5747955,769,-1
25,1543265798.5754688,60,1
26,1543265798.5764503,60,1
27,1543265798.57818,127,-1
28,1543265798.580756,74,-1
29,1543265798.587701,1514,-1
30,1543265798.5880005,1514,-1
31,1543265798.5895946,1514,-1
32,1543265798.5896556,1072,-1
33,1543265798.6149538,60,1
34,1543265798.6172104,60,1
35,1543265798.6205542,66,-1
36,1543265798.6280777,60,1
37,1543265798.629384,172,-1
38,1543265798.6295114,172,-1
39,1543265798.632127,54,-1
40,1543265798.63221,60,1
41,1543265798.6322112,60,1
42,1543265798.633418,312,-1
43,1543265798.6491148,172,-1
44,1543265798.6634119,172,-1
45,1543265798.6693242,60,1
46,1543265798.6693268,60,1
47,1543265798.6771526,172,-1
48,1543265798.6775873,60,-1
49,1543265798.677812,60,-1
50,1543265798.677813,191,-1
51,1543265798.6799052,54,-1
52,1543265798.6802516,105,-1
53,1543265798.6885953,60,1
54,1543265798.6987317,146,1
55,1543265798.698734,92,1
56,1543265798.7007594,54,-1
57,1543265798.7122223,172,-1
58,1543265798.7180078,60,1
59,1543265798.7263527,172,-1
60,1543265798.7404168,172,-1
61,1543265798.7609756,172,-1
62,1543265798.7639565,60,1
63,1543265798.7778392,60,-1
64,1543265798.779134,765,-1
65,1543265798.7894762,172,-1
66,1543265798.7991421,60,1
67,1543265798.8101015,172,-1
68,1543265798.8181257,60,-1
69,1543265798.82411,172,-1
70,1543265798.82534,417,-1
71,1543265798.8283727,85,-1
72,1543265798.8285873,54,-1
73,1543265798.8381088,172,-1
74,1543265798.8469207,60,1
75,1543265798.8703027,60,-1
76,1543265798.87169,54,-1
77,1543265798.8729568,172,-1
78,1543265798.8787308,60,1
79,1543265798.886949,172,-1
80,1543265798.9013877,172,-1
81,1543265798.9223013,172,-1
82,1543265798.9243636,60,1
83,1543265798.950059,172,-1
