Serial number,time,size,direction
1,1543172370.9931133,60,1
2,1543172371.0332134,54,-1
3,1543172376.7035341,66,-1
4,1543172378.1035595,54,-1
5,1543172379.0294092,287,-1
6,1543172379.039506,190,-1
7,1543172379.0399065,1514,-1
8,1543172379.0421166,1514,-1
9,1543172379.0421498,1514,-1
10,1543172379.0421662,1514,-1
11,1543172379.0421813,1086,-1
12,1543172379.0501158,79,-1
13,1543172379.0671372,60,-1
14,1543172379.0687168,1514,-1
15,1543172379.0690355,1514,-1
16,1543172379.0785377,60,-1
17,1543172379.0816045,1514,-1
18,1543172379.0857353,60,-1
19,1543172379.0857372,60,-1
20,1543172379.085739,60,-1
21,1543172379.0857399,60,-1
22,1543172379.0871744,1166,-1
23,1543172379.1101077,60,-1
24,1543172379.1119065,60,-1
25,1543172379.118616,1514,-1
26,1543172379.1208344,1514,-1
27,1543172379.120879,1514,-1
28,1543172379.1209118,1514,-1
29,1543172379.120942,412,-1
30,1543172379.1217494,60,-1
31,1543172379.1258397,60,-1
32,1543172379.1571336,60,-1
33,1543172379.1578722,60,-1
34,1543172379.1578748,60,-1
35,1543172379.1581364,172,-1
36,1543172379.1582923,172,-1
37,1543172379.1600645,60,-1
38,1543172379.1810703,172,-1
39,1543172379.194353,172,-1
40,1543172379.19513,60,-1
41,1543172379.1951332,60,-1
42,1543172379.208916,172,-1
43,1543172379.2205102,60,-1
44,1543172379.2291317,172,-1
45,1543172379.2349498,60,-1
46,1543172379.2485332,60,-1
47,1543172379.2491605,127,-1
48,1543172379.2520516,74,-1
49,1543172379.2569885,172,-1
50,1543172379.2669504,146,-1
51,1543172379.2669537,92,-1
52,1543172379.2699666,54,-1
53,1543172379.2731862,172,-1
54,1543172379.2878702,66,-1
55,1543172379.2896662,54,-1
56,1543172379.2922368,172,-1
57,1543172379.293032,60,-1
58,1543172379.2935824,312,-1
59,1543172379.3059425,172,-1
60,1543172379.3251352,60,-1
61,1543172379.328346,60,-1
62,1543172379.3331614,60,-1
63,1543172379.3334613,191,-1
64,1543172379.334866,54,-1
65,1543172379.3352325,105,-1
66,1543172379.3410225,172,-1
67,1543172379.3551261,172,-1
68,1543172379.3689651,172,-1
69,1543172379.380762,60,-1
70,1543172379.3825493,172,-1
71,1543172379.408327,60,-1
72,1543172379.4172206,172,-1
73,1543172379.4193788,60,-1
74,1543172379.4212198,767,-1
75,1543172379.4312656,172,-1
76,1543172379.4518607,172,-1
77,1543172379.4542482,60,-1
78,1543172379.4568772,60,-1
79,1543172379.4588966,417,-1
80,1543172379.465105,85,-1
81,1543172379.4653385,54,-1
82,1543172379.4669433,172,-1
83,1543172379.490203,60,-1
84,1543172379.5009396,172,-1
85,1543172379.5016725,60,-1
86,1543172379.503287,54,-1
87,1543172379.5150387,172,-1
88,1543172379.5294137,172,-1
89,1543172379.5419137,286,-1
90,1543172379.5428052,190,-1
91,1543172379.5438406,1514,-1
92,1543172379.5455098,1514,-1
93,1543172379.5456066,1514,-1
94,1543172379.5485046,60,-1
95,1543172379.5503054,661,-1
96,1543172379.6862526,762,-1
97,1543172379.714418,60,-1
98,1543172379.730142,60,-1
99,1543172379.731334,290,-1
100,1543172379.742241,60,-1
101,1543172379.743353,172,-1
102,1543172379.7565534,60,-1
103,1543172379.7579553,172,-1
104,1543172379.7591047,60,-1
105,1543172379.763206,60,-1
106,1543172379.7669628,172,-1
107,1543172379.768606,60,-1
108,1543172379.7878377,172,-1
109,1543172379.8155718,172,-1
110,1543172379.8511884,172,-1
111,1543172379.851336,172,-1
112,1543172379.864707,172,-1
113,1543172379.865006,146,-1
114,1543172379.8653693,92,-1
115,1543172379.8698514,54,-1
116,1543172379.9087214,60,-1
117,1543172379.9131327,172,-1
118,1543172379.9499393,60,-1
119,1543172379.9545944,408,-1
120,1543172379.9628408,60,-1
121,1543172379.9761548,60,-1
122,1543172379.9767206,172,-1
123,1543172379.9907076,60,-1
124,1543172379.9909635,172,-1
125,1543172380.010557,60,-1
126,1543172380.0159023,172,-1
127,1543172380.0258853,172,-1
128,1543172380.0368338,60,-1
129,1543172380.060714,172,-1
130,1543172380.0748057,60,-1
131,1543172380.076264,172,-1
132,1543172380.090399,172,-1
133,1543172380.0920918,60,-1
134,1543172380.102658,172,-1
135,1543172380.1388881,60,-1
136,1543172380.1432006,172,-1
137,1543172380.1879976,60,-1
138,1543172380.1924367,408,-1
139,1543172380.2070053,60,-1
140,1543172380.214873,172,-1
141,1543172380.2251704,60,-1
142,1543172380.235075,172,-1
143,1543172380.2528896,60,-1
144,1543172380.2543871,172,-1
145,1543172380.2664213,60,-1
146,1543172380.2681057,172,-1
147,1543172380.302091,60,-1
148,1543172380.3036888,172,-1
149,1543172380.3188417,60,-1
150,1543172380.320296,172,-1
151,1543172380.3300738,60,-1
152,1543172380.3340003,172,-1
153,1543172380.3449023,60,-1
154,1543172380.3474016,172,-1
155,1543172380.3870006,60,-1
156,1543172380.3913112,172,-1
157,1543172380.4348693,60,-1
158,1543172380.4391587,408,-1
159,1543172380.45994,60,-1
160,1543172380.4615386,172,-1
161,1543172380.4796927,60,-1
162,1543172380.480965,172,-1
163,1543172380.50184,60,-1
164,1543172380.5031521,172,-1
165,1543172380.5187292,60,-1
166,1543172380.5200672,172,-1
167,1543172380.5584517,60,-1
168,1543172380.5630784,290,-1
169,1543172380.571439,60,-1
170,1543172380.5751882,172,-1
171,1543172380.5894728,60,-1
172,1543172380.5908833,172,-1
173,1543172380.5962338,60,-1
174,1543172380.6199832,172,-1
175,1543172380.6468415,60,-1
176,1543172380.6480718,290,-1
177,1543172380.6973739,60,-1
178,1543172380.6986196,290,-1
179,1543172380.7273293,60,-1
180,1543172380.7286317,172,-1
181,1543172380.7508526,60,-1
182,1543172380.752413,290,-1
183,1543172380.7702024,60,-1
184,1543172380.7807195,172,-1
185,1543172380.7921193,60,-1
186,1543172380.7950413,172,-1
187,1543172380.8382084,60,-1
188,1543172380.8425207,290,-1
189,1543172380.845522,60,-1
190,1543172380.8581386,172,-1
191,1543172380.8626013,60,-1
192,1543172380.8721974,172,-1
193,1543172380.8868842,60,-1
194,1543172380.8936932,172,-1
195,1543172380.9217114,60,-1
196,1543172380.9231968,172,-1
197,1543172380.9693038,60,-1
198,1543172380.9737632,408,-1
199,1543172380.9988146,60,-1
200,1543172381.0002937,172,-1
201,1543172381.0200632,60,-1
202,1543172381.0213554,172,-1
203,1543172381.048867,60,-1
204,1543172381.0504835,172,-1
205,1543172381.0646992,60,-1
206,1543172381.0666437,172,-1
207,1543172381.1131067,60,-1
208,1543172381.1146472,290,-1
209,1543172381.124937,60,-1
210,1543172381.1263473,172,-1
211,1543172381.1633322,66,-1
212,1543172381.1649077,290,-1
213,1543172381.1889474,66,-1
214,1543172381.1903508,172,-1
215,1543172381.2342865,66,-1
216,1543172381.2567475,172,-1
217,1543172381.2587218,66,-1
218,1543172381.2601209,526,-1
219,1543172381.2789192,66,-1
220,1543172381.280359,172,-1
221,1543172381.295007,66,-1
