Serial number,time,size,direction
1,1543255602.2980573,100,1
2,1543255602.3049905,100,-1
3,1543255602.3419917,60,1
4,1543255609.2576528,288,-1
5,1543255609.2583218,190,-1
6,1543255609.2591803,1514,-1
7,1543255609.2602088,1514,-1
8,1543255609.2602568,1514,-1
9,1543255609.2602904,854,-1
10,1543255609.2603178,132,-1
11,1543255609.261167,180,-1
12,1543255609.2620454,1514,-1
13,1543255609.263382,192,-1
14,1543255609.2948399,60,1
15,1543255609.300977,60,1
16,1543255609.3011525,60,1
17,1543255609.3020322,60,1
18,1543255609.302035,60,1
19,1543255609.3020368,60,1
20,1543255609.3022046,60,1
21,1543255609.3048594,60,1
22,1543255609.3772318,1514,-1
23,1543255609.377574,1514,-1
24,1543255609.3775978,1514,-1
25,1543255609.3778405,1514,-1
26,1543255609.377862,652,-1
27,1543255609.3778772,287,-1
28,1543255609.377891,190,-1
29,1543255609.378315,1514,-1
30,1543255609.3783376,1514,-1
31,1543255609.3798015,1514,-1
32,1543255609.3798256,929,-1
33,1543255609.3825927,172,-1
34,1543255609.3957736,136,-1
35,1543255609.396363,92,-1
36,1543255609.403149,79,-1
37,1543255609.415282,60,1
38,1543255609.416155,60,1
39,1543255609.4161563,60,1
40,1543255609.416582,172,-1
41,1543255609.4225333,60,1
42,1543255609.4225347,60,1
43,1543255609.4225361,60,1
44,1543255609.4225378,60,1
45,1543255609.4275978,127,-1
46,1543255609.431461,74,-1
47,1543255609.4329915,60,1
48,1543255609.4329925,60,1
49,1543255609.4540524,60,1
50,1543255609.4696424,66,-1
51,1543255609.4734628,54,-1
52,1543255609.4903393,280,-1
53,1543255609.4905794,172,-1
54,1543255609.4918437,290,-1
55,1543255609.4938948,172,-1
56,1543255609.507275,172,-1
57,1543255609.5121586,60,-1
58,1543255609.5151777,146,1
59,1543255609.5151794,92,1
60,1543255609.5174007,54,-1
61,1543255609.528354,172,-1
62,1543255609.528545,60,1
63,1543255609.5294034,60,-1
64,1543255609.5296354,1514,-1
65,1543255609.5297709,1514,-1
66,1543255609.5298436,1514,-1
67,1543255609.530025,1049,-1
68,1543255609.532022,54,-1
69,1543255609.53237,60,1
70,1543255609.5326095,54,-1
71,1543255609.5326955,54,-1
72,1543255609.5331864,54,-1
73,1543255609.5429406,172,-1
74,1543255609.5449018,60,1
75,1543255609.5653737,1049,-1
76,1543255609.5677884,66,-1
77,1543255609.5701845,172,-1
78,1543255609.5737278,60,1
79,1543255609.5869734,60,1
80,1543255609.5919955,172,-1
81,1543255609.6093917,60,1
82,1543255609.610473,180,-1
83,1543255609.6205719,172,-1
84,1543255609.621131,172,-1
85,1543255609.6293845,60,1
86,1543255609.6489384,105,-1
87,1543255609.6512632,54,-1
88,1543255609.6520574,172,-1
89,1543255609.6544962,765,-1
90,1543255609.6585732,60,1
91,1543255609.6585758,60,1
92,1543255609.6661766,172,-1
93,1543255609.6872725,172,-1
94,1543255609.6963413,60,1
95,1543255609.7009363,172,-1
96,1543255609.704192,417,-1
97,1543255609.7061315,60,1
98,1543255609.7075033,85,-1
99,1543255609.7076564,54,-1
100,1543255609.7239716,60,1
101,1543255609.7362652,172,-1
102,1543255609.7382011,60,1
103,1543255609.745721,60,-1
104,1543255609.7487638,54,-1
105,1543255609.7494023,172,-1
106,1543255609.7646346,172,-1
107,1543255609.7754128,60,1
108,1543255609.777558,172,-1
109,1543255609.7863646,60,1
110,1543255609.8106122,60,1
111,1543255609.8124876,172,-1
112,1543255609.8169508,60,1
113,1543255609.826773,172,-1
114,1543255609.847974,172,-1
115,1543255609.848901,60,1
116,1543255609.8630052,60,1
117,1543255609.8643453,288,-1
118,1543255609.8647268,1514,-1
119,1543255609.865366,1514,-1
120,1543255609.8653939,1514,-1
121,1543255609.8655772,813,-1
122,1543255609.8655994,172,-1
123,1543255609.8849862,60,1
124,1543255609.8897166,172,-1
125,1543255609.9007297,60,1
126,1543255609.9072053,60,1
127,1543255609.9076207,60,1
128,1543255609.9076219,60,1
129,1543255609.9088068,96,1
130,1543255609.9107294,172,-1
131,1543255609.9252758,172,-1
132,1543255609.9389694,172,-1
133,1543255609.9473093,60,1
134,1543255609.9733233,172,-1
135,1543255609.9760244,60,1
136,1543255609.9874814,172,-1
137,1543255609.9924061,146,1
138,1543255609.992408,92,1
139,1543255609.9948823,54,-1
140,1543255610.0084164,172,-1
141,1543255610.022974,172,-1
142,1543255610.0240762,60,1
143,1543255610.0621796,60,1
144,1543255610.0792973,172,-1
145,1543255610.0795333,172,-1
146,1543255610.0851068,172,-1
147,1543255610.099221,172,-1
148,1543255610.116404,60,1
149,1543255610.1339347,172,-1
150,1543255610.1359751,60,1
151,1543255610.1480074,172,-1
152,1543255610.1625032,172,-1
153,1543255610.1829357,172,-1
154,1543255610.1846569,60,1
155,1543255610.211171,172,-1
156,1543255610.2200692,60,1
157,1543255610.2318707,172,-1
158,1543255610.2457614,172,-1
159,1543255610.25979,172,-1
160,1543255610.2684188,60,1
161,1543255610.2949195,172,-1
162,1543255610.2973776,60,1
163,1543255610.3086674,172,-1
164,1543255610.3227913,172,-1
165,1543255610.3442497,172,-1
166,1543255610.3451588,60,1
167,1543255610.3718212,172,-1
168,1543255610.380624,60,1
169,1543255610.3856983,172,-1
170,1543255610.4078448,172,-1
171,1543255610.4210665,172,-1
172,1543255610.422149,60,1
173,1543255610.4573114,60,1
174,1543255610.4591212,172,-1
175,1543255610.4696438,172,-1
176,1543255610.483775,172,-1
177,1543255610.4978116,172,-1
178,1543255610.5069177,60,1
179,1543255610.5327508,172,-1
180,1543255610.5345078,60,1
181,1543255610.5466037,172,-1
182,1543255610.5676644,172,-1
183,1543255610.5838888,60,1
184,1543255610.5841281,172,-1
185,1543255610.6099539,172,-1
186,1543255610.620891,60,1
187,1543255610.6312459,172,-1
188,1543255610.6456997,172,-1
189,1543255610.6593919,172,-1
190,1543255610.6700263,60,1
191,1543255610.6946898,172,-1
192,1543255610.6966019,60,1
193,1543255610.7084336,172,-1
194,1543255610.7224097,172,-1
195,1543255610.7429883,172,-1
196,1543255610.7464695,60,1
197,1543255610.779137,172,-1
198,1543255610.77943,60,1
199,1543255610.793051,172,-1
200,1543255610.8117702,172,-1
201,1543255610.8248723,172,-1
202,1543255610.8306453,60,1
203,1543255610.8546755,172,-1
204,1543255610.86178,60,1
205,1543255610.8687537,172,-1
206,1543255610.883061,172,-1
207,1543255610.903836,172,-1
208,1543255610.9058242,60,1
209,1543255610.9322636,172,-1
210,1543255610.9412808,60,1
211,1543255610.9460871,172,-1
212,1543255610.9666917,172,-1
213,1543255610.9807374,172,-1
214,1543255610.98265,60,1
215,1543255611.018721,60,1
216,1543255611.018833,172,-1
217,1543255611.0297272,172,-1
218,1543255611.0469327,172,-1
219,1543255611.0628383,172,-1
220,1543255611.067767,60,1
221,1543255611.093063,172,-1
222,1543255611.0995784,60,1
223,1543255611.107107,172,-1
224,1543255611.1284378,172,-1
225,1543255611.1423304,172,-1
226,1543255611.1440098,60,1
227,1543255611.1699884,172,-1
228,1543255611.1796825,60,1
229,1543255611.1911516,172,-1
230,1543255611.206983,172,-1
231,1543255611.2190573,172,-1
232,1543255611.2288828,60,1
233,1543255611.2537436,172,-1
234,1543255611.2560425,60,1
235,1543255611.2675455,172,-1
236,1543255611.2834442,172,-1
237,1543255611.303218,172,-1
238,1543255611.3040054,60,1
239,1543255611.3308563,172,-1
240,1543255611.3407924,60,1
241,1543255611.3520322,172,-1
242,1543255611.3660703,172,-1
243,1543255611.379945,172,-1
244,1543255611.3890421,60,1
245,1543255611.4154098,172,-1
246,1543255611.4175994,60,1
247,1543255611.4288242,172,-1
248,1543255611.4428766,172,-1
249,1543255611.4680455,60,1
250,1543255611.4796991,172,-1
251,1543255611.4921992,172,-1
252,1543255611.5061867,172,-1
253,1543255611.5167413,60,1
254,1543255611.5268817,172,-1
255,1543255611.5402915,172,-1
256,1543255611.542893,60,1
257,1543255611.5751107,172,-1
258,1543255611.5764616,60,1
259,1543255611.5907247,172,-1
260,1543255611.6035514,172,-1
261,1543255611.624334,172,-1
262,1543255611.6298697,60,1
263,1543255611.6526213,172,-1
264,1543255611.6621993,60,1
265,1543255611.6664348,172,-1
266,1543255611.6868935,172,-1
267,1543255611.7011406,172,-1
268,1543255611.7015154,434,1
269,1543255611.7166655,136,-1
270,1543255611.7180054,92,-1
271,1543255611.7231667,60,1
272,1543255611.7272837,708,1
273,1543255611.7504225,74,-1
274,1543255611.752948,60,1
275,1543255611.7603924,54,-1
276,1543255611.7876477,66,-1
277,1543255611.7897947,54,-1
278,1543255611.791384,312,-1
279,1543255611.7964232,60,1
280,1543255611.829533,60,-1
281,1543255611.8335497,60,-1
282,1543255611.8342512,191,-1
283,1543255611.836731,54,-1
284,1543255611.8370104,105,-1
285,1543255611.916778,60,-1
286,1543255611.9218872,810,-1
287,1543255611.960052,60,-1
288,1543255611.9669278,417,-1
289,1543255611.9707115,85,-1
290,1543255611.970894,54,-1
291,1543255612.010146,60,-1
292,1543255612.0152004,54,-1
293,1543255612.2876177,638,-1
294,1543255612.2877872,190,-1
295,1543255612.2881594,1514,-1
296,1543255612.2881854,1514,-1
297,1543255612.2882037,1514,-1
298,1543255612.2882214,553,-1
299,1543255612.2882373,136,-1
300,1543255612.292049,92,-1
301,1543255612.325971,60,1
302,1543255612.3310924,60,1
303,1543255612.3310943,60,1
304,1543255612.41952,146,1
305,1543255612.4195223,92,1
306,1543255612.4241292,54,-1
307,1543255612.4243133,54,-1
308,1543255612.4776497,1514,1
309,1543255612.4778028,1514,1
310,1543255612.4779263,1514,1
311,1543255612.4780421,1514,1
312,1543255612.4781685,1514,1
313,1543255612.478291,1514,1
314,1543255612.4784155,1514,1
315,1543255612.4785385,1514,1
316,1543255612.4786613,1514,1
317,1543255612.4788563,1514,1
318,1543255612.482695,54,-1
319,1543255612.4838088,54,-1
320,1543255612.4838884,54,-1
321,1543255612.4840376,54,-1
322,1543255612.4841352,54,-1
323,1543255612.4850805,54,-1
324,1543255612.489271,54,-1
325,1543255612.4895604,54,-1
326,1543255612.4896376,54,-1
327,1543255612.4897134,54,-1
328,1543255612.5206943,1514,1
329,1543255612.5225594,54,-1
330,1543255612.526343,1514,1
331,1543255612.5266237,1514,1
332,1543255612.5268123,1514,1
333,1543255612.527013,1514,1
334,1543255612.5273128,1514,1
335,1543255612.5310023,1514,1
336,1543255612.531076,54,-1
337,1543255612.5312843,1514,1
338,1543255612.531479,1514,1
339,1543255612.5314791,54,-1
340,1543255612.5316122,54,-1
341,1543255612.5316958,1514,1
342,1543255612.5317655,54,-1
343,1543255612.5318923,54,-1
344,1543255612.533487,54,-1
345,1543255612.5351799,54,-1
346,1543255612.535473,54,-1
347,1543255612.5363169,54,-1
348,1543255612.5598686,1514,1
349,1543255612.5648012,54,-1
350,1543255612.567567,1514,1
351,1543255612.5692968,54,-1
352,1543255612.572681,1514,1
353,1543255612.572874,1514,1
354,1543255612.5730069,1514,1
355,1543255612.5731955,1514,1
356,1543255612.5734217,1514,1
357,1543255612.5736957,1514,1
358,1543255612.5777242,1514,1
359,1543255612.5780582,1514,1
360,1543255612.5787923,1514,1
361,1543255612.5795527,54,-1
362,1543255612.5798094,54,-1
363,1543255612.5799317,54,-1
364,1543255612.5800533,54,-1
365,1543255612.580246,54,-1
366,1543255612.5803714,54,-1
367,1543255612.580495,54,-1
368,1543255612.5809267,54,-1
369,1543255612.5812447,54,-1
370,1543255612.5865963,74,-1
371,1543255612.6019597,1514,1
372,1543255612.6038811,54,-1
373,1543255612.617303,1514,1
374,1543255612.6174774,1514,1
375,1543255612.6175845,1514,1
376,1543255612.617765,1514,1
377,1543255612.6179674,1514,1
378,1543255612.6182773,1514,1
379,1543255612.6199532,54,-1
380,1543255612.6201377,54,-1
381,1543255612.6203022,54,-1
382,1543255612.6209087,54,-1
383,1543255612.6211913,54,-1
384,1543255612.6218057,96,-1
385,1543255612.622005,1514,1
386,1543255612.6223426,1514,1
387,1543255612.6225233,1514,1
388,1543255612.6227212,1514,1
389,1543255612.6278486,54,-1
390,1543255612.6280348,54,-1
391,1543255612.6299953,66,-1
392,1543255612.6326947,54,-1
393,1543255612.6351156,312,-1
394,1543255612.641091,1514,1
395,1543255612.6429415,54,-1
396,1543255612.6575172,1514,1
397,1543255612.657827,1514,1
398,1543255612.6581886,1514,1
399,1543255612.6625407,54,-1
