Serial number,time,size,direction
1,1541450636.2359457,100,1
2,1541450636.2422147,100,-1
3,1541450636.2884097,60,1
4,1541450646.354427,287,-1
5,1541450646.354977,190,-1
6,1541450646.3553817,1078,-1
7,1541450646.3554206,1078,-1
8,1541450646.3554525,1078,-1
9,1541450646.3555374,1078,-1
10,1541450646.358446,295,-1
11,1541450646.3606467,132,-1
12,1541450646.3946025,60,1
13,1541450646.396454,1078,-1
14,1541450646.4011307,66,1
15,1541450646.4012725,66,1
16,1541450646.401276,66,1
17,1541450646.4012783,60,1
18,1541450646.4012804,60,1
19,1541450646.4012825,60,1
20,1541450646.4012842,60,1
21,1541450646.404434,60,1
22,1541450646.4065676,706,-1
23,1541450646.408107,1078,-1
24,1541450646.4214005,288,-1
25,1541450646.426442,190,-1
26,1541450646.4278889,1078,-1
27,1541450646.4343984,79,-1
28,1541450646.4373536,60,1
29,1541450646.4406557,1078,-1
30,1541450646.4466136,60,1
31,1541450646.4482992,1078,-1
32,1541450646.45131,60,1
33,1541450646.4602127,95,-1
34,1541450646.461558,60,1
35,1541450646.4632142,1078,-1
36,1541450646.4635763,373,-1
37,1541450646.463612,74,-1
38,1541450646.4660985,60,1
39,1541450646.4713311,60,1
40,1541450646.4821346,60,1
41,1541450646.489029,60,1
42,1541450646.4903324,1078,-1
43,1541450646.4920807,1078,-1
44,1541450646.4921353,1078,-1
45,1541450646.4921985,1078,-1
46,1541450646.503678,60,1
47,1541450646.5050378,66,-1
48,1541450646.5053787,1078,-1
49,1541450646.5057433,972,-1
50,1541450646.507454,54,-1
51,1541450646.5088673,312,-1
52,1541450646.5309844,60,1
53,1541450646.5326455,172,-1
54,1541450646.5385342,60,1
55,1541450646.5385363,60,1
56,1541450646.5402117,172,-1
57,1541450646.5468884,60,-1
58,1541450646.5490396,60,-1
59,1541450646.549298,191,-1
60,1541450646.5500546,60,1
61,1541450646.551129,96,1
62,1541450646.554966,172,-1
63,1541450646.5551472,54,-1
64,1541450646.5553036,105,-1
65,1541450646.5665727,172,-1
66,1541450646.5859544,146,1
67,1541450646.5859582,92,1
68,1541450646.5880754,54,-1
69,1541450646.5991027,60,1
70,1541450646.600877,172,-1
71,1541450646.6145358,172,-1
72,1541450646.6360145,172,-1
73,1541450646.6409795,60,1
74,1541450646.6409814,60,-1
75,1541450646.6424417,766,-1
76,1541450646.6493165,172,-1
77,1541450646.6757646,60,1
78,1541450646.6790435,172,-1
79,1541450646.6807055,60,-1
80,1541450646.6889608,419,-1
81,1541450646.6935728,85,-1
82,1541450646.6937802,54,-1
83,1541450646.6986578,172,-1
84,1541450646.712432,172,-1
85,1541450646.7188842,60,1
86,1541450646.7264433,172,-1
87,1541450646.7308908,60,-1
88,1541450646.7323673,54,-1
89,1541450646.7536848,60,1
90,1541450646.761623,172,-1
91,1541450646.789184,172,-1
92,1541450646.7896461,172,-1
93,1541450646.80136,60,1
94,1541450646.8109567,172,-1
95,1541450646.8296576,60,1
96,1541450646.8385527,172,-1
97,1541450646.8527298,172,-1
98,1541450646.8738875,172,-1
99,1541450646.8796575,60,1
100,1541450646.8874633,172,-1
101,1541450646.9132135,60,1
102,1541450646.921965,287,-1
103,1541450646.9234502,190,-1
104,1541450646.924372,1078,-1
105,1541450646.9246564,1078,-1
106,1541450646.9260428,1078,-1
107,1541450646.9660592,60,1
108,1541450646.9663908,60,1
109,1541450646.9714282,1078,-1
110,1541450646.971848,472,-1
111,1541450646.9718728,172,-1
112,1541450646.999588,172,-1
113,1541450647.0128999,60,1
114,1541450647.0134523,172,-1
115,1541450647.034611,172,-1
116,1541450647.0400972,60,1
117,1541450647.049101,172,-1
118,1541450647.0755427,60,1
119,1541450647.0843282,172,-1
120,1541450647.0970259,172,-1
121,1541450647.10938,146,1
122,1541450647.1093855,92,1
123,1541450647.111315,172,-1
124,1541450647.1142142,54,-1
125,1541450647.1321647,172,-1
126,1541450647.1452472,60,1
127,1541450647.1601207,172,-1
128,1541450647.1716883,60,1
129,1541450647.1736593,172,-1
130,1541450647.1955934,172,-1
131,1541450647.2086105,172,-1
132,1541450647.2135978,60,1
133,1541450647.2437027,172,-1
134,1541450647.2567255,60,1
135,1541450647.2575731,172,-1
136,1541450647.272103,172,-1
137,1541450647.286117,172,-1
138,1541450647.2972586,60,1
139,1541450647.320473,172,-1
140,1541450647.326031,60,1
141,1541450647.3357735,172,-1
142,1541450647.3561013,172,-1
143,1541450647.369422,172,-1
144,1541450647.3756769,60,1
145,1541450647.3978417,172,-1
146,1541450647.40933,60,1
147,1541450647.4185278,172,-1
148,1541450647.4324663,172,-1
149,1541450647.4463696,172,-1
150,1541450647.4591854,60,1
151,1541450647.4858575,60,1
152,1541450647.4974587,172,-1
153,1541450647.4975927,172,-1
154,1541450647.5090823,172,-1
155,1541450647.5302858,172,-1
156,1541450647.5373328,60,1
157,1541450647.5580063,172,-1
158,1541450647.5704784,60,1
159,1541450647.5795095,172,-1
160,1541450647.59339,172,-1
161,1541450647.606738,172,-1
162,1541450647.6199682,60,1
163,1541450647.6418495,172,-1
164,1541450647.6469562,60,1
165,1541450647.656162,172,-1
166,1541450647.6693559,172,-1
167,1541450647.6903923,172,-1
168,1541450647.695867,60,1
169,1541450647.718782,172,-1
170,1541450647.7301085,60,1
171,1541450647.739443,172,-1
172,1541450647.75394,172,-1
173,1541450647.7683837,172,-1
174,1541450647.7802973,60,1
175,1541450647.8025732,172,-1
176,1541450647.8083563,60,1
177,1541450647.8165538,172,-1
178,1541450647.8308554,172,-1
179,1541450647.8515358,172,-1
180,1541450647.8564062,60,1
181,1541450647.8802443,172,-1
182,1541450647.8934784,172,-1
183,1541450647.8969054,60,1
184,1541450647.9143581,172,-1
185,1541450647.9283774,172,-1
186,1541450647.9376538,60,1
187,1541450647.963435,172,-1
188,1541450647.9752245,60,1
189,1541450647.9791632,172,-1
190,1541450647.9921224,172,-1
191,1541450648.0058873,172,-1
192,1541450648.0191386,60,1
193,1541450648.0403562,172,-1
194,1541450648.0454674,60,1
195,1541450648.0546105,172,-1
196,1541450648.0769672,172,-1
197,1541450648.0893846,172,-1
198,1541450648.0959191,60,1
199,1541450648.1185462,172,-1
200,1541450648.1292057,60,1
201,1541450648.1393316,172,-1
202,1541450648.1531808,172,-1
203,1541450648.1801395,60,1
204,1541450648.1946337,172,-1
205,1541450648.2023695,172,-1
206,1541450648.216246,172,-1
207,1541450648.230423,172,-1
208,1541450648.2342727,60,1
209,1541450648.2357268,60,1
210,1541450648.2423363,60,1
211,1541450648.2529328,295,-1
212,1541450648.2532742,172,-1
213,1541450648.2596936,60,1
214,1541450648.2700415,60,1
215,1541450648.2780824,172,-1
216,1541450648.2926426,146,-1
217,1541450648.2936046,60,1
218,1541450648.2943642,54,-1
219,1541450648.2993047,172,-1
220,1541450648.3163245,172,-1
221,1541450648.317938,60,1
222,1541450648.3271692,172,-1
223,1541450648.3390386,60,1
224,1541450648.3561916,60,1
225,1541450648.3626037,172,-1
226,1541450648.3669493,60,1
227,1541450648.3770013,172,-1
228,1541450648.3899236,172,-1
229,1541450648.4026427,60,1
230,1541450648.4111068,172,-1
231,1541450648.4162905,60,1
232,1541450648.4297013,60,1
233,1541450648.4392042,172,-1
234,1541450648.4509482,60,1
235,1541450648.4593873,172,-1
236,1541450648.4734755,172,-1
237,1541450648.480918,60,1
238,1541450648.487817,172,-1
239,1541450648.4994996,60,1
240,1541450648.5133111,60,1
241,1541450648.5226269,172,-1
242,1541450648.527955,60,1
