Serial number,time,size,direction
1,1538709390.7748146,100,1
2,1538709390.7795274,54,-1
3,1538709390.7803235,100,-1
4,1538709390.8687398,60,1
5,1538709399.6955826,287,-1
6,1538709399.6957486,190,-1
7,1538709399.7026405,1514,-1
8,1538709399.7036047,1514,-1
9,1538709399.7036312,1514,-1
10,1538709399.7036486,1514,-1
11,1538709399.7036827,225,-1
12,1538709399.704243,79,-1
13,1538709399.7340808,60,1
14,1538709399.7358952,1514,-1
15,1538709399.7362192,1514,-1
16,1538709399.7380123,60,1
17,1538709399.742723,1514,-1
18,1538709399.7455368,95,-1
19,1538709399.7459588,60,1
20,1538709399.7459602,60,1
21,1538709399.745961,60,1
22,1538709399.7480092,74,-1
23,1538709399.7483022,402,-1
24,1538709399.7789068,60,1
25,1538709399.778909,60,1
26,1538709399.7806454,60,1
27,1538709399.7870486,60,1
28,1538709399.7905684,66,-1
29,1538709399.7919083,54,-1
30,1538709399.7954142,312,-1
31,1538709399.8417618,191,-1
32,1538709399.843709,60,-1
33,1538709399.8443906,60,-1
34,1538709399.8452308,1514,-1
35,1538709399.845586,1514,-1
36,1538709399.8456082,1514,-1
37,1538709399.8456264,1514,-1
38,1538709399.84566,92,-1
39,1538709399.8464756,54,-1
40,1538709399.8466501,54,-1
41,1538709399.8475094,105,-1
42,1538709399.8567796,172,-1
43,1538709399.8609385,98,1
44,1538709399.8609407,92,1
45,1538709399.8639479,54,-1
46,1538709399.877719,172,-1
47,1538709399.8839314,60,1
48,1538709399.884658,60,1
49,1538709399.8846593,60,1
50,1538709399.885533,96,1
51,1538709399.8918846,172,-1
52,1538709399.9148695,60,1
53,1538709399.9233568,60,-1
54,1538709399.925297,768,-1
55,1538709399.9278963,172,-1
56,1538709399.9398453,172,-1
57,1538709399.9546099,172,-1
58,1538709399.9682975,172,-1
59,1538709399.9689987,60,1
60,1538709399.9730952,60,-1
61,1538709399.9787712,400,-1
62,1538709399.980528,85,-1
63,1538709399.9807415,54,-1
64,1538709399.9916465,60,1
65,1538709400.0026987,172,-1
66,1538709400.0168643,172,-1
67,1538709400.0255964,60,-1
68,1538709400.0271134,54,-1
69,1538709400.0383797,172,-1
70,1538709400.0394206,60,1
71,1538709400.0518134,172,-1
72,1538709400.0757647,60,1
73,1538709400.079925,172,-1
74,1538709400.1014245,172,-1
75,1538709400.1148605,172,-1
76,1538709400.122965,60,1
77,1538709400.128928,172,-1
78,1538709400.1534903,60,1
79,1538709400.1645322,172,-1
80,1538709400.1780374,172,-1
81,1538709400.191859,172,-1
82,1538709400.2015767,60,1
83,1538709400.2154016,172,-1
84,1538709400.2269506,288,-1
85,1538709400.22769,1514,-1
86,1538709400.2277346,1514,-1
87,1538709400.229128,60,1
88,1538709400.2295094,1374,-1
