Serial number,time,size,direction
1,1543256363.9881263,60,1
2,1543256363.9891722,425,1
3,1543256363.9935749,54,-1
4,1543256364.0353236,60,1
5,1543256368.3117273,66,-1
6,1543256369.7484763,54,-1
7,1543256376.8363712,60,-1
8,1543256376.8812113,54,-1
9,1543256382.29555,100,-1
10,1543256382.3003063,54,-1
11,1543256382.3014095,100,-1
12,1543256382.403465,60,-1
13,1543256383.0516226,66,-1
14,1543256385.8116832,54,-1
15,1543256388.7655494,287,-1
16,1543256388.7660563,190,-1
17,1543256388.766111,1514,-1
18,1543256388.766151,1514,-1
19,1543256388.7661834,1514,-1
20,1543256388.7665,1514,-1
21,1543256388.7665474,1137,-1
22,1543256388.7665782,79,-1
23,1543256388.7976267,127,-1
24,1543256388.8003607,74,-1
25,1543256388.8041644,60,-1
26,1543256388.8108497,60,-1
27,1543256388.8119671,60,-1
28,1543256388.8119707,60,-1
29,1543256388.8119729,60,-1
30,1543256388.8341277,1514,-1
31,1543256388.8381996,66,-1
32,1543256388.8712795,60,-1
33,1543256388.912074,1514,-1
34,1543256388.9125662,1514,-1
35,1543256388.9125922,1514,-1
36,1543256388.9126124,1514,-1
37,1543256388.9126294,1514,-1
38,1543256388.9126477,1514,-1
39,1543256388.9126651,54,-1
40,1543256388.9128718,312,-1
41,1543256388.9130166,1413,-1
42,1543256388.950359,60,-1
43,1543256388.9503617,60,-1
44,1543256388.9508638,60,-1
45,1543256388.951328,60,-1
46,1543256388.9517071,290,-1
47,1543256388.9554727,60,-1
48,1543256388.955874,60,-1
49,1543256388.956302,96,-1
50,1543256388.9569077,60,-1
51,1543256388.9579337,60,-1
52,1543256388.9579349,191,-1
53,1543256388.961965,54,-1
54,1543256388.962054,105,-1
55,1543256388.9679527,172,-1
56,1543256388.9850776,172,-1
57,1543256389.0020413,172,-1
58,1543256389.0085127,60,-1
59,1543256389.0272615,149,-1
60,1543256389.0272639,92,-1
61,1543256389.0481415,172,-1
62,1543256389.0548787,60,-1
63,1543256389.084517,60,-1
64,1543256389.0892017,172,-1
65,1543256389.0894215,172,-1
66,1543256389.0895083,172,-1
67,1543256389.0902681,54,-1
68,1543256389.10983,766,-1
69,1543256389.1107996,172,-1
70,1543256389.1249585,172,-1
71,1543256389.1259427,60,-1
72,1543256389.1479385,60,-1
73,1543256389.1535466,417,-1
74,1543256389.1622956,60,-1
75,1543256389.2243805,172,-1
76,1543256389.2246897,172,-1
77,1543256389.2250643,172,-1
78,1543256389.2252614,172,-1
79,1543256389.2253742,172,-1
80,1543256389.2263901,54,-1
81,1543256389.2369466,172,-1
82,1543256389.2595153,288,-1
83,1543256389.259631,190,-1
84,1543256389.259829,1514,-1
85,1543256389.2611644,1514,-1
86,1543256389.2661152,60,-1
87,1543256389.2677956,1514,-1
88,1543256389.2691734,674,-1
89,1543256389.2778647,172,-1
90,1543256389.28626,172,-1
91,1543256389.2956674,66,-1
92,1543256389.298757,60,-1
93,1543256389.2991302,60,-1
94,1543256389.3080568,172,-1
95,1543256389.3082259,60,-1
96,1543256389.3207219,172,-1
97,1543256389.323602,60,-1
98,1543256389.327893,85,-1
99,1543256389.354696,172,-1
100,1543256389.357079,60,-1
101,1543256389.365235,417,-1
102,1543256389.366905,66,-1
103,1543256389.3675637,60,-1
104,1543256389.3702998,54,-1
105,1543256389.3704884,172,-1
106,1543256389.3836784,172,-1
107,1543256389.3981988,172,-1
108,1543256389.4058785,60,-1
109,1543256389.409978,60,-1
110,1543256389.4109972,54,-1
111,1543256389.4330525,172,-1
112,1543256389.4354365,60,-1
113,1543256389.4432888,148,-1
114,1543256389.4432926,92,-1
115,1543256389.4477568,54,-1
