Serial number,time,size,direction
1,1539490518.109514,54,1
2,1539490523.0635495,66,1
3,1539490531.1412396,286,1
4,1539490531.1415336,190,1
5,1539490531.1418185,1514,1
6,1539490531.1418421,1514,1
7,1539490531.1420352,1153,1
8,1539490531.152622,79,1
9,1539490531.1780677,95,-1
10,1539490531.1806202,74,1
11,1539490531.1851003,60,-1
12,1539490531.185258,60,-1
13,1539490531.1860447,60,-1
14,1539490531.186046,60,-1
15,1539490531.186717,1514,1
16,1539490531.1883824,1514,1
17,1539490531.1889436,1514,1
18,1539490531.1892607,1514,1
19,1539490531.190564,474,1
20,1539490531.2169237,66,-1
21,1539490531.2184994,54,1
22,1539490531.2195444,312,1
23,1539490531.2274501,60,-1
24,1539490531.2358963,60,-1
25,1539490531.2359104,60,-1
26,1539490531.2560172,60,-1
27,1539490531.2603695,60,-1
28,1539490531.2621875,1514,-1
29,1539490531.2625592,1514,-1
30,1539490531.2636652,1514,-1
31,1539490531.2638597,1023,-1
32,1539490531.2641623,54,1
33,1539490531.2650406,54,1
34,1539490531.2656946,54,1
35,1539490531.26698,54,1
36,1539490531.2807336,1514,1
37,1539490531.2811592,1514,1
38,1539490531.2811832,1514,1
39,1539490531.282566,1514,1
40,1539490531.2825887,1372,1
41,1539490531.2983189,1023,-1
42,1539490531.3003016,66,1
43,1539490531.3051472,146,-1
44,1539490531.3051488,92,-1
45,1539490531.3070261,54,1
46,1539490531.311709,180,1
47,1539490531.3208146,60,-1
48,1539490531.327176,60,-1
49,1539490531.3271782,60,-1
50,1539490531.328007,60,-1
51,1539490531.328008,60,-1
52,1539490531.3288617,96,-1
53,1539490531.3356318,290,1
54,1539490531.3360403,172,1
55,1539490531.3487427,105,-1
56,1539490531.3540533,54,1
57,1539490531.356175,172,1
58,1539490531.358376,765,1
59,1539490531.376053,60,-1
60,1539490531.376376,172,1
61,1539490531.4033973,419,-1
62,1539490531.4124358,172,1
63,1539490531.412627,172,1
64,1539490531.4142632,85,1
65,1539490531.4146862,54,1
66,1539490531.4172218,60,-1
67,1539490531.4385202,172,1
68,1539490531.452331,172,1
69,1539490531.452586,60,-1
70,1539490531.4535038,60,-1
71,1539490531.454553,54,1
72,1539490531.467676,172,1
73,1539490531.4924316,60,-1
74,1539490531.5040128,172,1
75,1539490531.5190103,172,1
76,1539490531.539388,172,1
