Serial number,time,size,direction
1,1539490116.8809814,242,1
2,1539490117.9077055,77,1
3,1539490118.88535,242,1
4,1539490120.7246604,100,-1
5,1539490120.7811363,100,-1
6,1539490120.8279157,60,-1
7,1539490120.886496,242,1
8,1539490120.908302,77,1
9,1539490122.8891795,242,1
10,1539490123.90906,77,1
11,1539490123.9413583,288,-1
12,1539490123.9426568,1514,-1
13,1539490123.943517,1514,-1
14,1539490123.9435387,1514,-1
15,1539490123.9435549,1514,-1
16,1539490123.9435728,154,-1
17,1539490123.955305,286,-1
18,1539490123.9572377,79,-1
19,1539490123.9793158,60,-1
20,1539490123.985305,66,-1
21,1539490123.9856725,95,-1
22,1539490123.9861567,60,-1
23,1539490123.9861584,60,-1
24,1539490123.9861596,60,-1
25,1539490123.9861605,60,-1
26,1539490123.9870446,96,-1
27,1539490124.008815,1514,-1
28,1539490124.0103724,1514,-1
29,1539490124.011268,1366,-1
30,1539490124.0112884,74,-1
31,1539490124.033195,1514,-1
32,1539490124.0351527,1514,-1
33,1539490124.0352566,1514,-1
34,1539490124.048301,60,-1
35,1539490124.0510814,66,-1
36,1539490124.0535939,60,-1
37,1539490124.0602183,1514,-1
38,1539490124.0606246,690,-1
39,1539490124.0654,54,-1
40,1539490124.067249,312,-1
41,1539490124.077683,60,-1
42,1539490124.08144,172,-1
43,1539490124.0964487,172,-1
44,1539490124.1005757,60,-1
45,1539490124.1032827,60,-1
46,1539490124.1071494,60,-1
47,1539490124.1074104,191,-1
48,1539490124.1093605,54,-1
49,1539490124.1168876,105,-1
50,1539490124.117161,172,-1
51,1539490124.127073,146,-1
52,1539490124.1270766,92,-1
53,1539490124.1390276,172,-1
54,1539490124.139202,54,-1
55,1539490124.1564677,60,-1
56,1539490124.1580162,172,-1
57,1539490124.1792364,172,-1
58,1539490124.1934414,172,-1
59,1539490124.196434,60,-1
60,1539490124.2093318,60,-1
61,1539490124.2132127,172,-1
62,1539490124.213502,765,-1
63,1539490124.2307794,60,-1
64,1539490124.244236,172,-1
65,1539490124.249823,60,-1
66,1539490124.2568047,419,-1
67,1539490124.2581136,172,-1
68,1539490124.2585413,85,-1
69,1539490124.258742,54,-1
