Serial number,time,size,direction
1,1538706139.1203594,342,1
2,1538706139.5484025,85,-1
3,1538706139.55479,82,-1
4,1538706139.5741205,153,1
5,1538706139.605768,78,-1
6,1538706139.610418,74,-1
7,1538706139.6203165,146,1
8,1538706139.6311083,110,1
9,1538706139.6390762,90,-1
10,1538706139.6392813,90,-1
11,1538706139.639449,90,-1
12,1538706139.64432,90,-1
13,1538706139.6489522,66,-1
14,1538706139.6511369,54,-1
15,1538706139.660243,200,-1
16,1538706139.661713,90,-1
17,1538706139.6619778,98,-1
18,1538706139.662474,98,1
19,1538706139.6655216,98,-1
20,1538706139.665927,98,1
21,1538706139.6664555,90,-1
22,1538706139.6683137,98,-1
23,1538706139.6687565,98,1
24,1538706139.6714978,90,-1
25,1538706139.6727178,98,-1
26,1538706139.673189,98,1
27,1538706139.6753328,98,-1
28,1538706139.6757643,98,1
29,1538706139.6798232,98,-1
30,1538706139.6804035,98,1
31,1538706139.6851876,98,-1
32,1538706139.6855786,98,1
33,1538706139.6889515,98,-1
34,1538706139.6893644,98,1
35,1538706139.6926455,98,-1
36,1538706139.6931717,98,1
37,1538706139.695417,98,-1
38,1538706139.6959462,98,1
39,1538706139.698771,60,-1
40,1538706139.7012534,410,-1
41,1538706139.7012572,473,-1
42,1538706139.7233744,90,-1
43,1538706139.734972,89,-1
44,1538706139.7369623,54,-1
45,1538706139.7371647,54,-1
46,1538706139.737439,473,-1
47,1538706139.740746,66,-1
48,1538706139.7831702,153,1
49,1538706139.7878702,74,-1
50,1538706139.8102632,74,-1
51,1538706139.8124576,66,-1
52,1538706139.813061,256,-1
53,1538706139.827621,79,-1
54,1538706139.8394723,66,-1
55,1538706139.841577,539,-1
56,1538706139.8439248,66,-1
57,1538706139.850587,200,-1
58,1538706139.8542264,95,1
59,1538706139.8576066,74,-1
60,1538706139.8890412,410,-1
61,1538706139.8890452,473,-1
62,1538706139.8943958,54,-1
63,1538706139.8950124,54,-1
64,1538706139.8975189,90,-1
65,1538706139.898702,66,-1
66,1538706139.905783,54,-1
67,1538706139.9140368,230,-1
68,1538706139.9166942,473,-1
69,1538706139.9200895,66,-1
70,1538706139.9545367,60,-1
71,1538706139.9692323,1514,-1
72,1538706139.9694881,1514,-1
73,1538706139.9703856,1514,-1
74,1538706139.9703882,498,-1
75,1538706139.9725635,54,-1
76,1538706139.9731498,54,-1
77,1538706139.9736629,54,-1
78,1538706139.9741185,54,-1
79,1538706140.0032327,498,-1
80,1538706140.0061185,66,-1
81,1538706140.065011,85,-1
82,1538706140.0895019,136,1
83,1538706140.093305,74,-1
84,1538706140.1114702,79,-1
85,1538706140.1309528,66,-1
86,1538706140.1330988,54,-1
87,1538706140.140427,223,-1
88,1538706140.1496606,95,1
89,1538706140.1534977,74,-1
90,1538706140.1713183,60,-1
91,1538706140.1812286,60,-1
92,1538706140.18395,1514,-1
93,1538706140.184269,1514,-1
94,1538706140.1851826,1514,-1
95,1538706140.1853576,745,-1
96,1538706140.18608,54,-1
97,1538706140.186278,54,-1
98,1538706140.1874201,54,-1
99,1538706140.1882486,54,-1
100,1538706140.1899664,66,-1
101,1538706140.1922064,54,-1
102,1538706140.1948276,280,-1
103,1538706140.1967046,260,-1
104,1538706140.2117305,745,-1
105,1538706140.2145917,66,-1
106,1538706140.2312126,180,-1
107,1538706140.2350745,60,-1
108,1538706140.2360342,60,-1
109,1538706140.2360363,60,-1
110,1538706140.2369275,1514,-1
111,1538706140.237137,1514,-1
112,1538706140.2371383,447,-1
113,1538706140.2396126,54,-1
114,1538706140.2435641,54,-1
115,1538706140.2440155,54,-1
116,1538706140.2582839,447,-1
117,1538706140.2590375,60,-1
118,1538706140.2590423,99,-1
119,1538706140.2606187,66,-1
120,1538706140.2611742,54,-1
121,1538706140.2613711,54,-1
122,1538706140.2694216,105,-1
123,1538706140.2694242,98,-1
124,1538706140.2720916,54,-1
125,1538706140.2722423,54,-1
126,1538706140.2767162,122,-1
127,1538706140.276872,92,-1
128,1538706140.2916605,98,-1
129,1538706140.2936234,66,-1
130,1538706140.3140259,60,-1
131,1538706140.314214,92,-1
132,1538706140.3163698,54,-1
133,1538706140.3347068,666,-1
134,1538706140.335273,190,-1
135,1538706140.3358972,136,-1
136,1538706140.3373268,92,-1
137,1538706140.3641024,180,-1
138,1538706140.3684807,1514,-1
139,1538706140.3699198,1070,-1
140,1538706140.3771298,60,-1
141,1538706140.3771315,60,-1
142,1538706140.3968637,253,-1
143,1538706140.402896,105,-1
144,1538706140.4161022,60,-1
145,1538706140.4161043,212,-1
146,1538706140.429954,292,-1
147,1538706140.4362175,54,-1
148,1538706140.436379,54,-1
149,1538706140.4364588,54,-1
150,1538706140.4379733,1514,-1
151,1538706140.4394345,671,-1
152,1538706140.4626555,92,-1
153,1538706140.4628227,100,-1
154,1538706140.480463,60,-1
155,1538706140.4826853,356,-1
156,1538706140.5009608,60,-1
157,1538706140.5009642,100,-1
158,1538706140.5366771,54,-1
159,1538706140.5407717,459,-1
160,1538706140.56349,297,-1
161,1538706140.5640619,190,-1
162,1538706140.564957,1419,-1
163,1538706140.5655587,136,-1
164,1538706140.5662005,92,-1
165,1538706140.5765994,54,-1
166,1538706140.5832224,286,-1
167,1538706140.586602,190,-1
168,1538706140.587023,1514,-1
