Serial number,time,size,direction
1,1539490957.6821666,242,1
2,1539490958.105052,77,1
3,1539490959.6830242,242,1
4,1539490960.7211995,100,-1
5,1539490960.7280736,100,-1
6,1539490960.768645,60,-1
7,1539490961.1055017,77,1
8,1539490961.6849365,242,1
9,1539490963.6871128,242,1
10,1539490964.1060998,77,1
11,1539490965.6892364,242,1
12,1539490967.1067524,77,1
13,1539490967.6919487,242,1
14,1539490969.6929545,242,1
15,1539490969.8598616,287,-1
16,1539490969.860981,190,-1
17,1539490969.8665476,1514,-1
18,1539490969.8668728,1514,-1
19,1539490969.868157,1357,-1
20,1539490969.8695838,1514,-1
21,1539490969.8696043,192,-1
22,1539490969.8769686,289,-1
23,1539490969.9002843,60,-1
24,1539490969.9046314,60,-1
25,1539490969.9119775,79,-1
26,1539490969.9122539,1514,-1
27,1539490969.9131963,1514,-1
28,1539490969.9132383,60,-1
29,1539490969.9132402,60,-1
30,1539490969.9132414,60,-1
31,1539490969.9132423,60,-1
32,1539490969.9151638,1366,-1
33,1539490969.9170854,60,-1
34,1539490969.9419086,95,-1
35,1539490969.945402,74,-1
36,1539490969.9529595,60,-1
37,1539490969.9593608,60,-1
38,1539490969.959364,60,-1
39,1539490969.9668097,1514,-1
40,1539490969.9675436,1514,-1
41,1539490969.9675822,1514,-1
42,1539490969.9675984,1514,-1
43,1539490969.9688451,732,-1
44,1539490969.9836402,66,-1
45,1539490969.9850552,54,-1
46,1539490969.9863183,312,-1
47,1539490969.9999812,172,-1
48,1539490970.007313,60,-1
49,1539490970.0138738,60,-1
50,1539490970.0138767,60,-1
51,1539490970.0138774,60,-1
52,1539490970.0144184,172,-1
53,1539490970.0233207,60,-1
54,1539490970.0282862,60,-1
55,1539490970.0285518,172,-1
56,1539490970.0298846,1514,-1
57,1539490970.030239,1514,-1
58,1539490970.030573,1514,-1
59,1539490970.0307577,1023,-1
60,1539490970.0320199,54,-1
61,1539490970.0321348,54,-1
62,1539490970.0322797,54,-1
63,1539490970.0330095,54,-1
64,1539490970.0343494,146,-1
65,1539490970.0343504,92,-1
66,1539490970.0552714,1023,-1
67,1539490970.0552762,60,-1
68,1539490970.0633075,172,-1
69,1539490970.063446,66,-1
70,1539490970.0771616,172,-1
71,1539490970.0836415,180,-1
72,1539490970.091011,172,-1
73,1539490970.103247,60,-1
74,1539490970.107522,77,1
75,1539490970.1121156,172,-1
76,1539490970.1225832,105,-1
77,1539490970.1271431,54,-1
78,1539490970.1273267,766,-1
79,1539490970.1278353,172,-1
80,1539490970.1323738,60,-1
81,1539490970.1539567,172,-1
82,1539490970.174203,60,-1
83,1539490970.1760793,172,-1
84,1539490970.1777005,419,-1
85,1539490970.179502,85,-1
86,1539490970.1796613,54,-1
87,1539490970.1886082,172,-1
88,1539490970.2036018,172,-1
89,1539490970.2194061,60,-1
90,1539490970.2217202,60,-1
91,1539490970.2321525,54,-1
92,1539490970.2378821,172,-1
93,1539490970.246491,60,-1
94,1539490970.2601302,172,-1
95,1539490970.2734032,172,-1
96,1539490970.287286,172,-1
97,1539490970.3027184,60,-1
98,1539490970.3152928,172,-1
99,1539490970.3271782,60,-1
100,1539490970.335626,172,-1
101,1539490970.3495605,172,-1
102,1539490970.3641095,172,-1
103,1539490970.3792515,60,-1
104,1539490970.3908737,286,-1
105,1539490970.3913932,190,-1
106,1539490970.3914154,1514,-1
107,1539490970.3914442,1514,-1
108,1539490970.391464,856,-1
109,1539490970.3914783,136,-1
110,1539490970.4044056,60,-1
111,1539490970.4056125,210,-1
112,1539490970.4138985,172,-1
113,1539490970.4384062,60,-1
114,1539490970.4384086,60,-1
115,1539490970.4391348,60,-1
116,1539490970.4396946,172,-1
117,1539490970.4493067,172,-1
118,1539490970.458446,60,-1
119,1539490970.4762452,172,-1
120,1539490970.4903998,172,-1
121,1539490970.4952142,60,-1
122,1539490970.512226,172,-1
123,1539490970.5193305,146,-1
124,1539490970.519334,92,-1
125,1539490970.5272486,54,-1
126,1539490970.5274446,172,-1
127,1539490970.5575483,60,-1
128,1539490970.5606725,172,-1
129,1539490970.574097,172,-1
130,1539490970.5877507,172,-1
131,1539490970.602304,172,-1
