Serial number,time,size,direction
1,1541447262.811053,100,1
2,1541447262.8172424,100,-1
3,1541447262.8550193,60,1
4,1541447271.8628705,638,-1
5,1541447271.8633451,1514,-1
6,1541447271.86396,1514,-1
7,1541447271.8643658,1514,-1
8,1541447271.8644269,249,-1
9,1541447271.870316,79,-1
10,1541447271.9010205,95,-1
11,1541447271.9037707,60,1
12,1541447271.9046688,66,1
13,1541447271.9048877,66,1
14,1541447271.9048905,60,1
15,1541447271.9050193,60,1
16,1541447271.905021,60,1
17,1541447271.9051316,74,-1
18,1541447271.905715,1514,-1
19,1541447271.9066832,1514,-1
20,1541447271.9072993,1514,-1
21,1541447271.9097307,1514,-1
22,1541447271.9101007,879,-1
23,1541447271.9471214,60,1
24,1541447271.9471276,60,1
25,1541447271.94713,60,1
26,1541447271.9471316,96,1
27,1541447271.9473743,66,-1
28,1541447271.9509597,60,1
29,1541447271.9511542,54,-1
30,1541447271.9524553,1514,-1
31,1541447271.954361,1514,-1
32,1541447271.9544942,1514,-1
33,1541447271.9546003,1514,-1
34,1541447271.9546723,312,-1
35,1541447271.9547713,332,-1
36,1541447271.964433,172,-1
37,1541447271.9946096,60,1
38,1541447271.9946122,60,1
39,1541447271.9946134,60,-1
40,1541447271.9956129,60,-1
41,1541447271.9958582,1514,-1
42,1541447271.9959726,1514,-1
43,1541447271.996041,1514,-1
44,1541447271.9962204,1023,-1
45,1541447271.9973674,172,-1
46,1541447271.9980118,54,-1
47,1541447271.9992115,54,-1
48,1541447271.9993525,54,-1
49,1541447272.0000844,54,-1
50,1541447272.01226,172,-1
51,1541447272.0204341,1023,-1
52,1541447272.0226564,66,-1
53,1541447272.0254629,172,-1
54,1541447272.0300987,146,1
55,1541447272.030101,92,1
56,1541447272.0318904,54,-1
57,1541447272.0469127,172,-1
58,1541447272.047386,60,1
59,1541447272.076998,180,-1
60,1541447272.0771708,172,-1
61,1541447272.0851068,60,1
62,1541447272.0887442,172,-1
63,1541447272.10944,172,-1
64,1541447272.1131177,105,-1
