Serial number,time,size,direction
1,1543282841.721808,100,1
2,1543282841.7277007,100,-1
3,1543282841.778017,60,1
4,1543282852.2257373,287,-1
5,1543282852.2259312,190,-1
6,1543282852.2261996,1514,-1
7,1543282852.2262356,1514,-1
8,1543282852.2264755,1514,-1
9,1543282852.226503,701,-1
10,1543282852.2299905,132,-1
11,1543282852.2303798,1514,-1
12,1543282852.2491102,79,-1
13,1543282852.282513,127,-1
14,1543282852.2852075,74,-1
15,1543282852.2888067,60,1
16,1543282852.2906733,1514,-1
17,1543282852.2958632,60,1
18,1543282852.295864,60,1
19,1543282852.2990878,1514,-1
20,1543282852.299436,1514,-1
21,1543282852.2997105,60,1
22,1543282852.299712,60,1
23,1543282852.2997131,60,1
24,1543282852.2997143,60,1
25,1543282852.3010406,1403,-1
26,1543282852.3148286,1514,-1
27,1543282852.3166134,1514,-1
28,1543282852.316653,1514,-1
29,1543282852.31667,1472,-1
30,1543282852.3519354,60,1
31,1543282852.3541915,290,-1
32,1543282852.3580356,66,-1
33,1543282852.3609536,60,1
34,1543282852.361632,54,-1
35,1543282852.363332,312,-1
36,1543282852.3663874,60,1
37,1543282852.3748262,60,1
38,1543282852.3772132,172,-1
39,1543282852.3828213,60,1
40,1543282852.3828251,60,1
41,1543282852.390953,172,-1
42,1543282852.4119458,172,-1
43,1543282852.4122505,60,1
44,1543282852.426697,172,-1
45,1543282852.4273717,146,1
46,1543282852.427374,92,1
47,1543282852.430839,60,-1
48,1543282852.4319222,54,-1
49,1543282852.432908,60,-1
50,1543282852.4344604,1514,-1
51,1543282852.4347615,1514,-1
52,1543282852.4351137,1514,-1
53,1543282852.4352949,1049,-1
54,1543282852.4364653,54,-1
55,1543282852.4379709,54,-1
56,1543282852.4380949,54,-1
57,1543282852.4381914,54,-1
58,1543282852.448655,60,1
59,1543282852.4609432,172,-1
60,1543282852.4664683,1049,-1
61,1543282852.4685726,66,-1
62,1543282852.4746609,172,-1
63,1543282852.4823406,60,1
64,1543282852.4939806,180,-1
65,1543282852.4962947,172,-1
66,1543282852.5031314,172,-1
67,1543282852.526577,60,1
68,1543282852.537826,172,-1
69,1543282852.551351,172,-1
70,1543282852.5575962,60,1
71,1543282852.5650604,105,-1
72,1543282852.5663707,54,-1
73,1543282852.5686955,764,-1
74,1543282852.5728676,172,-1
75,1543282852.5871377,172,-1
76,1543282852.6016629,60,1
77,1543282852.6153502,172,-1
78,1543282852.635787,172,-1
79,1543282852.6426246,60,1
80,1543282852.6466258,417,-1
81,1543282852.6489477,85,-1
82,1543282852.6491942,54,-1
83,1543282852.649796,172,-1
84,1543282852.6633947,172,-1
85,1543282852.6921558,60,1
86,1543282852.6983573,172,-1
87,1543282852.711285,60,-1
88,1543282852.7154377,60,-1
89,1543282852.721725,60,1
90,1543282852.7290146,172,-1
91,1543282852.7296135,287,-1
92,1543282852.7296615,190,-1
93,1543282852.7296898,1514,-1
94,1543282852.7297173,1514,-1
95,1543282852.7297354,54,-1
96,1543282852.731136,1514,-1
97,1543282852.7312,642,-1
98,1543282852.791909,60,1
99,1543282852.7965298,290,-1
100,1543282852.7968388,172,-1
101,1543282852.7996116,60,1
102,1543282852.8006105,60,1
103,1543282852.800613,60,1
104,1543282852.8126578,172,-1
105,1543282852.8262548,172,-1
106,1543282852.8618486,172,-1
107,1543282852.863694,60,1
108,1543282852.8763254,172,-1
109,1543282852.8876991,172,-1
110,1543282852.8897974,60,1
111,1543282852.8919182,146,1
112,1543282852.8919206,92,1
113,1543282852.8933651,54,-1
114,1543282852.9100342,172,-1
115,1543282852.9345043,60,1
116,1543282852.9387949,172,-1
117,1543282852.9502773,172,-1
118,1543282852.9686325,60,1
119,1543282852.973118,172,-1
120,1543282852.9856596,172,-1
121,1543282853.0091164,60,1
122,1543282853.0204804,172,-1
123,1543282853.0344653,172,-1
124,1543282853.044946,60,1
125,1543282853.0489612,172,-1
126,1543282853.0627692,172,-1
127,1543282853.093585,60,1
128,1543282853.097564,172,-1
129,1543282853.111442,172,-1
130,1543282853.1219082,60,1
131,1543282853.1325004,172,-1
132,1543282853.1465354,172,-1
133,1543282853.1721253,60,1
134,1543282853.1743648,172,-1
135,1543282853.1953816,172,-1
136,1543282853.2067,60,1
137,1543282853.210082,172,-1
138,1543282853.2236996,172,-1
139,1543282853.252242,60,1
140,1543282853.2586143,172,-1
141,1543282853.2725675,172,-1
142,1543282853.28075,60,1
143,1543282853.2869055,172,-1
144,1543282853.3073142,172,-1
145,1543282853.33047,60,1
146,1543282853.3356864,172,-1
147,1543282853.3566291,172,-1
148,1543282853.3648026,60,1
149,1543282853.370227,172,-1
150,1543282853.3842432,172,-1
151,1543282853.4141939,60,1
152,1543282853.4287791,172,-1
153,1543282853.4330683,172,-1
154,1543282853.4430778,60,1
155,1543282853.4473004,172,-1
156,1543282853.4687848,172,-1
157,1543282853.4921994,60,1
158,1543282853.4986598,172,-1
159,1543282853.515277,172,-1
160,1543282853.5281281,60,1
161,1543282853.5366588,172,-1
162,1543282853.5458713,172,-1
163,1543282853.5738711,60,1
164,1543282853.5808756,172,-1
165,1543282853.5944672,172,-1
166,1543282853.6086094,60,1
167,1543282853.6087015,172,-1
168,1543282853.622638,172,-1
169,1543282853.6544883,60,1
170,1543282853.657727,172,-1
171,1543282853.6715863,172,-1
172,1543282853.683478,60,1
173,1543282853.6925952,172,-1
174,1543282853.7068195,172,-1
175,1543282853.7195525,96,1
176,1543282853.7344873,172,-1
177,1543282853.7556615,172,-1
178,1543282853.7600622,60,1
179,1543282853.770267,172,-1
180,1543282853.783484,172,-1
181,1543282853.7967327,60,1
182,1543282853.8185651,172,-1
183,1543282853.8311589,60,1
184,1543282853.8325322,172,-1
185,1543282853.8465357,172,-1
186,1543282853.867248,172,-1
187,1543282853.8753257,60,1
188,1543282853.895511,172,-1
189,1543282853.9025068,60,1
190,1543282853.9163995,172,-1
191,1543282853.930307,172,-1
192,1543282853.9488754,60,1
193,1543282853.9498131,172,-1
194,1543282853.9794223,172,-1
195,1543282853.9842587,60,1
196,1543282853.9931502,172,-1
197,1543282854.007618,172,-1
198,1543282854.0288122,172,-1
199,1543282854.0323668,60,1
200,1543282854.0565772,172,-1
201,1543282854.061579,60,1
202,1543282854.070426,172,-1
203,1543282854.090468,172,-1
204,1543282854.1125803,60,1
205,1543282854.1340659,172,-1
206,1543282854.13972,172,-1
207,1543282854.146853,60,1
208,1543282854.1534045,172,-1
209,1543282854.1677704,172,-1
210,1543282854.1889625,172,-1
211,1543282854.196973,60,1
212,1543282854.2166119,172,-1
213,1543282854.2279541,60,1
214,1543282854.2302418,172,-1
215,1543282854.2568142,172,-1
216,1543282854.265731,172,-1
217,1543282854.2735035,60,1
218,1543282854.3006,172,-1
219,1543282854.3128903,60,1
220,1543282854.3142667,172,-1
221,1543282854.3283117,172,-1
222,1543282854.3436399,172,-1
223,1543282854.3552427,60,1
224,1543282854.3775651,172,-1
225,1543282854.3847888,60,1
226,1543282854.391299,172,-1
227,1543282854.412677,172,-1
228,1543282854.4267786,172,-1
229,1543282854.4348037,60,1
230,1543282854.4603848,172,-1
231,1543282854.4708579,60,1
232,1543282854.4746244,172,-1
233,1543282854.488898,172,-1
234,1543282854.502783,172,-1
235,1543282854.5168302,60,1
236,1543282854.5398333,172,-1
237,1543282854.5454016,60,1
238,1543282854.550964,172,-1
239,1543282854.5713735,172,-1
240,1543282854.5853927,172,-1
241,1543282854.5956118,60,1
242,1543282854.6205294,172,-1
243,1543282854.627219,60,1
244,1543282854.634198,172,-1
245,1543282854.6475503,172,-1
246,1543282854.6691349,172,-1
247,1543282854.6766431,60,1
248,1543282854.6967363,172,-1
249,1543282854.7106783,172,-1
250,1543282854.710978,60,1
251,1543282854.7318904,172,-1
252,1543282854.7458887,172,-1
253,1543282854.7570136,60,1
254,1543282854.7818742,172,-1
255,1543282854.79333,60,1
256,1543282854.7942367,172,-1
257,1543282854.8316545,172,-1
258,1543282854.8318021,172,-1
259,1543282854.8404458,60,1
260,1543282854.8578446,172,-1
261,1543282854.8715606,172,-1
262,1543282854.884634,434,1
263,1543282854.8941977,172,-1
264,1543282854.895581,136,-1
265,1543282854.896288,92,-1
266,1543282854.9007602,712,1
267,1543282854.900762,60,1
268,1543282854.9122107,74,-1
269,1543282854.927939,60,1
270,1543282854.9448714,54,-1
271,1543282854.9556074,60,1
272,1543282854.9692984,66,-1
273,1543282854.9711742,54,-1
274,1543282854.9725287,312,-1
275,1543282855.0288951,60,-1
276,1543282855.0327647,60,-1
277,1543282855.0330117,191,-1
278,1543282855.0347118,54,-1
279,1543282855.038041,105,-1
280,1543282855.1409063,60,-1
281,1543282855.145693,807,-1
282,1543282855.198802,460,1
283,1543282855.2009645,60,-1
284,1543282855.2046847,54,-1
285,1543282855.206898,417,-1
286,1543282855.209486,85,-1
287,1543282855.209725,54,-1
288,1543282855.2150276,74,-1
289,1543282855.2549431,66,-1
290,1543282855.2596836,54,-1
291,1543282855.2615638,312,-1
292,1543282855.2644682,60,-1
293,1543282855.265786,54,-1
294,1543282855.315331,60,-1
295,1543282855.3188388,60,-1
296,1543282855.3188431,191,-1
297,1543282855.3206968,54,-1
298,1543282855.3226128,105,-1
299,1543282855.4414122,60,-1
300,1543282855.446162,779,-1
301,1543282855.4714572,641,-1
302,1543282855.4724908,190,-1
303,1543282855.4725103,1514,-1
304,1543282855.4725325,1514,-1
305,1543282855.4725533,1514,-1
306,1543282855.4725702,400,-1
307,1543282855.472584,136,-1
308,1543282855.4726758,92,-1
309,1543282855.5028307,60,-1
310,1543282855.5147436,417,-1
311,1543282855.5340574,60,1
312,1543282855.5340598,60,1
313,1543282855.5340612,60,1
314,1543282855.5340621,60,1
315,1543282855.5352118,85,-1
316,1543282855.535362,54,-1
317,1543282855.5918646,60,-1
318,1543282855.5963118,54,-1
319,1543282855.689792,146,1
320,1543282855.6897933,92,1
321,1543282855.6950793,54,-1
322,1543282855.6952434,54,-1
323,1543282855.7002313,1514,1
324,1543282855.700455,1514,1
325,1543282855.7052543,54,-1
326,1543282855.7055445,54,-1
327,1543282855.7483234,1514,1
328,1543282855.7486854,1514,1
329,1543282855.753125,54,-1
330,1543282855.753989,54,-1
331,1543282855.7598407,1514,1
332,1543282855.7601166,1514,1
333,1543282855.76184,54,-1
334,1543282855.7620246,54,-1
335,1543282855.8038163,1514,1
336,1543282855.8069365,54,-1
337,1543282855.8154366,1514,1
338,1543282855.8157566,1514,1
339,1543282855.8161561,1514,1
340,1543282855.8198678,54,-1
341,1543282855.820673,54,-1
342,1543282855.8207567,54,-1
343,1543282855.8610978,1514,1
344,1543282855.8627317,54,-1
345,1543282855.874404,1514,1
346,1543282855.8747041,1514,1
347,1543282855.8750217,1514,1
348,1543282855.876724,54,-1
349,1543282855.8768718,54,-1
350,1543282855.8769515,54,-1
351,1543282855.9162245,1514,1
352,1543282855.9165328,1514,1
353,1543282855.924921,54,-1
354,1543282855.9328809,1514,1
355,1543282855.9330435,1514,1
356,1543282855.933241,1514,1
357,1543282855.9351366,54,-1
358,1543282855.9779875,54,-1
359,1543282855.9818785,1514,1
360,1543282855.9822261,1514,1
361,1543282855.984149,54,-1
362,1543282855.9931839,1514,1
363,1543282855.993563,1514,1
364,1543282855.9966943,54,-1
365,1543282855.9993217,96,-1
366,1543282856.0011277,74,-1
367,1543282856.0320425,1514,1
368,1543282856.0385618,1514,1
369,1543282856.038845,1514,1
370,1543282856.0408998,54,-1
371,1543282856.0547328,66,-1
372,1543282856.0554662,1514,1
373,1543282856.0558145,1514,1
374,1543282856.0563846,54,-1
375,1543282856.0575624,54,-1
376,1543282856.0598292,312,-1
377,1543282856.0945537,1514,1
378,1543282856.09478,1514,1
379,1543282856.0953777,54,-1
380,1543282856.097127,54,-1
381,1543282856.110813,1514,1
382,1543282856.1110241,1514,1
383,1543282856.1113648,60,-1
384,1543282856.1151798,54,-1
385,1543282856.116876,60,-1
386,1543282856.1168792,191,-1
387,1543282856.118764,54,-1
388,1543282856.122673,105,-1
389,1543282856.1317978,1514,1
390,1543282856.1485593,1514,1
391,1543282856.148836,1514,1
392,1543282856.1491659,1514,1
393,1543282856.1502824,54,-1
394,1543282856.151566,54,-1
395,1543282856.1708567,1514,1
396,1543282856.1711617,1514,1
397,1543282856.1748166,54,-1
398,1543282856.2005436,1514,1
399,1543282856.2007685,1514,1
400,1543282856.206687,1514,1
401,1543282856.2070236,1514,1
402,1543282856.2243268,1514,1
403,1543282856.2246444,1514,1
404,1543282856.2249796,1514,1
405,1543282856.2320223,60,-1
406,1543282856.2340832,295,-1
407,1543282856.2350047,190,-1
408,1543282856.235064,1514,-1
409,1543282856.2351022,1514,-1
410,1543282856.2351356,1514,-1
411,1543282856.235176,524,-1
412,1543282856.2431235,54,-1
413,1543282856.2437139,54,-1
414,1543282856.2438805,54,-1
415,1543282856.2441313,784,-1
416,1543282856.2441735,96,-1
417,1543282856.3002145,60,1
418,1543282856.3006444,60,-1
419,1543282856.3010345,60,1
420,1543282856.3016424,1514,1
421,1543282856.3019304,1514,1
422,1543282856.30202,288,-1
423,1543282856.3022568,1514,1
424,1543282856.3056355,1514,1
425,1543282856.3056393,1514,1
426,1543282856.3058574,1514,1
427,1543282856.306147,1514,1
428,1543282856.3062868,1514,-1
429,1543282856.3069022,417,-1
430,1543282856.3070197,1514,-1
431,1543282856.3070748,1514,-1
432,1543282856.3071103,656,-1
433,1543282856.307146,54,-1
434,1543282856.309164,54,-1
435,1543282856.3109338,54,-1
436,1543282856.318574,85,-1
437,1543282856.3188107,54,-1
438,1543282856.3548238,54,-1
439,1543282856.36402,1514,1
440,1543282856.3642192,1514,1
441,1543282856.364323,1514,1
442,1543282856.364581,1514,1
443,1543282856.3650458,1514,1
444,1543282856.3653622,1514,1
445,1543282856.3667471,54,-1
446,1543282856.367738,54,-1
447,1543282856.370749,54,-1
448,1543282856.370973,60,-1
449,1543282856.3727024,54,-1
450,1543282856.4052355,1514,1
451,1543282856.422656,1514,1
452,1543282856.4228342,1514,1
453,1543282856.4230208,1514,1
454,1543282856.423321,1514,1
455,1543282856.4245667,54,-1
456,1543282856.4248235,54,-1
457,1543282856.4283042,1514,1
458,1543282856.4284678,1514,1
459,1543282856.428666,1514,1
460,1543282856.430356,54,-1
461,1543282856.4308493,54,-1
462,1543282856.4869523,1514,1
463,1543282856.4871001,1514,1
464,1543282856.4872956,1514,1
465,1543282856.487596,1514,1
466,1543282856.4923196,1514,1
467,1543282856.4925833,1514,1
468,1543282856.492787,1514,1
469,1543282856.4932907,1514,1
470,1543282856.4936185,1514,1
471,1543282856.5346057,54,-1
472,1543282856.5347793,54,-1
473,1543282856.5348597,96,-1
474,1543282856.5397196,54,-1
475,1543282856.5399356,54,-1
476,1543282856.5747385,54,-1
477,1543282856.5962443,1514,1
478,1543282856.5964959,1514,1
479,1543282856.5966976,1514,1
480,1543282856.5968995,1514,1
481,1543282856.602217,1514,1
482,1543282856.6024344,1514,1
483,1543282856.6025612,1514,1
484,1543282856.602735,1514,1
485,1543282856.636274,1514,1
486,1543282856.6365976,1514,1
487,1543282856.6677241,54,-1
488,1543282856.6679032,54,-1
489,1543282856.6695855,54,-1
490,1543282856.6706786,54,-1
491,1543282856.6719863,54,-1
492,1543282856.729639,1514,1
493,1543282856.7299411,1514,1
494,1543282856.7301729,1165,1
495,1543282856.8067925,54,-1
496,1543282856.8069882,54,-1
497,1543282856.8146653,96,-1
498,1543282856.831378,74,-1
499,1543282856.884183,66,-1
500,1543282856.9113116,60,1
501,1543282856.9772558,54,-1
502,1543282856.9786124,312,-1
503,1543282857.0343118,60,-1
504,1543282857.0398335,60,-1
505,1543282857.0401523,191,-1
506,1543282857.1378088,295,-1
507,1543282857.1940782,146,-1
508,1543282857.1953473,54,-1
509,1543282857.2520504,191,-1
510,1543282857.2538347,66,-1
511,1543282857.5578225,105,-1
512,1543282857.6628466,60,-1
513,1543282857.667596,795,-1
514,1543282857.7292078,60,-1
515,1543282857.737917,417,-1
516,1543282857.739257,54,-1
517,1543282857.7396688,85,-1
518,1543282857.7398689,54,-1
519,1543282857.7974858,60,-1
520,1543282857.7992785,54,-1
521,1543282871.7308297,100,1
522,1543282871.7395113,100,-1
523,1543282871.8045259,60,1
524,1543282876.1924195,288,-1
525,1543282876.1926725,190,-1
526,1543282876.1935978,1514,-1
527,1543282876.193621,1514,-1
528,1543282876.1936383,1514,-1
529,1543282876.193672,404,-1
530,1543282876.193687,136,-1
531,1543282876.1948876,92,-1
532,1543282876.2641768,60,1
533,1543282876.2650673,60,1
534,1543282876.269615,1514,-1
535,1543282876.271014,66,1
536,1543282876.2711663,66,1
537,1543282876.2711694,66,1
538,1543282876.2711709,60,1
539,1543282876.2711723,60,1
540,1543282876.2711735,60,1
541,1543282876.2711744,60,1
542,1543282876.2724495,1514,-1
543,1543282876.2741475,1514,-1
544,1543282876.274543,894,-1
545,1543282876.2745633,1514,-1
546,1543282876.3388662,60,1
547,1543282876.3492398,60,1
548,1543282876.349244,60,1
549,1543282876.349245,60,1
550,1543282876.3708687,146,1
551,1543282876.3712478,92,1
552,1543282876.3771327,54,-1
553,1543282876.4737024,146,1
554,1543282876.473706,92,1
555,1543282876.4780414,54,-1
556,1543282876.6985435,288,-1
557,1543282876.699381,190,-1
558,1543282876.702956,1514,-1
559,1543282876.7055569,1514,-1
560,1543282876.7069948,1514,-1
561,1543282876.7695234,60,1
562,1543282876.7742343,520,-1
563,1543282876.7757096,60,1
564,1543282876.8414502,96,1
565,1543282876.8846154,54,-1
566,1543282876.9384902,146,1
567,1543282876.9384928,92,1
568,1543282876.943082,54,-1
569,1543282876.9432573,54,-1
570,1543282896.466246,288,-1
571,1543282896.466497,1514,-1
572,1543282896.466875,1514,-1
573,1543282896.4668956,1514,-1
574,1543282896.4669116,1514,-1
575,1543282896.4669273,1107,-1
576,1543282896.467091,79,-1
577,1543282896.496811,127,-1
578,1543282896.5046465,74,-1
579,1543282896.5348084,66,1
580,1543282896.535674,60,1
581,1543282896.5356758,66,1
582,1543282896.536644,60,1
583,1543282896.5380685,1514,-1
584,1543282896.53878,1514,-1
585,1543282896.5405266,1514,-1
586,1543282896.5405633,1150,-1
587,1543282896.547731,66,-1
588,1543282896.550425,54,-1
589,1543282896.5527039,1514,-1
590,1543282896.5554435,1514,-1
591,1543282896.5567477,312,-1
592,1543282896.6009445,60,-1
593,1543282896.6059308,60,-1
594,1543282896.6061697,60,1
595,1543282896.606171,60,1
596,1543282896.606667,191,-1
597,1543282896.6093462,1514,-1
598,1543282896.6102898,1514,-1
599,1543282896.610475,88,-1
600,1543282896.6105618,54,-1
601,1543282896.615189,105,-1
602,1543282896.616739,172,-1
603,1543282896.6238306,60,1
604,1543282896.6357398,172,-1
605,1543282896.6500514,172,-1
606,1543282896.6807501,60,1
607,1543282896.6830392,172,-1
608,1543282896.698599,172,-1
609,1543282896.6998534,60,1
610,1543282896.705285,146,1
611,1543282896.7052863,92,1
612,1543282896.7106922,54,-1
613,1543282896.7108994,54,-1
614,1543282896.7151866,172,-1
615,1543282896.7270927,172,-1
616,1543282896.7304432,60,-1
617,1543282896.7317996,768,-1
618,1543282896.7437866,60,1
619,1543282896.7477028,172,-1
620,1543282896.7756138,172,-1
621,1543282896.7823937,60,1
622,1543282896.784938,60,-1
623,1543282896.7880664,417,-1
624,1543282896.7983599,172,-1
625,1543282896.7986114,85,-1
