Serial number,time,size,direction
1,1543264775.4925203,100,1
2,1543264775.4983935,100,-1
3,1543264775.5343115,60,1
4,1543264793.2460837,286,-1
5,1543264793.2539337,190,-1
6,1543264793.2590833,79,-1
7,1543264793.2629666,1514,-1
8,1543264793.2634196,1514,-1
9,1543264793.2634497,1514,-1
10,1543264793.2634676,122,-1
11,1543264793.2842362,60,1
12,1543264793.285985,1514,-1
13,1543264793.2913692,127,-1
14,1543264793.291985,60,1
15,1543264793.294271,1514,-1
16,1543264793.2946713,74,-1
17,1543264793.3043163,60,1
18,1543264793.3043194,60,1
19,1543264793.3043203,60,1
20,1543264793.3060884,1514,-1
21,1543264793.3063834,1514,-1
22,1543264793.3066142,864,-1
23,1543264793.327377,60,1
24,1543264793.3315682,66,-1
25,1543264793.3321037,60,1
26,1543264793.337058,54,-1
27,1543264793.338385,312,-1
28,1543264793.3449466,60,1
29,1543264793.3449492,60,1
30,1543264793.3527598,1514,-1
31,1543264793.3550868,1514,-1
32,1543264793.3552115,1514,-1
33,1543264793.3553011,1514,-1
34,1543264793.3553507,92,-1
35,1543264793.3666031,172,-1
36,1543264793.3782222,60,-1
37,1543264793.3827436,60,-1
38,1543264793.3827457,191,-1
39,1543264793.386912,54,-1
40,1543264793.38733,105,-1
41,1543264793.391066,60,1
42,1543264793.392328,172,-1
43,1543264793.3963382,60,1
44,1543264793.3963392,60,1
45,1543264793.402858,60,1
46,1543264793.4181077,145,1
47,1543264793.41811,92,1
48,1543264793.42412,172,-1
49,1543264793.4290977,54,-1
50,1543264793.4330976,172,-1
51,1543264793.4512913,172,-1
52,1543264793.4603577,60,1
53,1543264793.4643707,172,-1
54,1543264793.4782004,172,-1
55,1543264793.4863524,60,-1
56,1543264793.4877305,60,1
57,1543264793.487969,766,-1
58,1543264793.5129647,172,-1
59,1543264793.5144372,60,1
60,1543264793.527007,172,-1
61,1543264793.5277772,60,-1
62,1543264793.5358582,417,-1
63,1543264793.5389986,85,-1
64,1543264793.5391474,54,-1
65,1543264793.5414188,172,-1
66,1543264793.5620413,172,-1
67,1543264793.5680945,60,1
68,1543264793.581765,60,-1
69,1543264793.5832264,54,-1
70,1543264793.5900605,172,-1
71,1543264793.5994768,60,1
72,1543264793.61843,172,-1
73,1543264793.6251252,172,-1
74,1543264793.6393166,172,-1
75,1543264793.6557806,60,1
76,1543264793.6741943,172,-1
77,1543264793.67609,60,1
78,1543264793.6880465,172,-1
79,1543264793.7020543,172,-1
80,1543264793.723378,172,-1
81,1543264793.7239904,60,1
82,1543264793.7524292,172,-1
83,1543264793.759292,60,1
84,1543264793.7643619,287,-1
85,1543264793.7655163,190,-1
86,1543264793.7660513,1514,-1
87,1543264793.766097,1514,-1
88,1543264793.7674634,1285,-1
89,1543264793.8036468,60,1
90,1543264793.804017,60,1
91,1543264793.8082252,528,-1
