Serial number,time,size,direction
1,1543273830.1415942,66,1
2,1543273830.1445274,66,-1
3,1543273830.1479008,66,-1
4,1543273830.1526473,66,-1
5,1543273838.1055107,287,-1
6,1543273838.1060452,190,-1
7,1543273838.1060972,1514,-1
8,1543273838.1061392,1514,-1
9,1543273838.1063626,1295,-1
10,1543273838.1064022,136,-1
11,1543273838.106591,92,-1
12,1543273838.1453774,60,-1
13,1543273838.1469717,60,-1
14,1543273838.1479537,60,-1
15,1543273838.1479557,60,-1
16,1543273838.3215427,145,-1
17,1543273838.3215451,92,-1
18,1543273838.3262107,54,-1
19,1543273838.614996,287,-1
20,1543273838.615378,1514,-1
21,1543273838.6154037,1514,-1
22,1543273838.6154203,1490,-1
23,1543273838.6251726,1514,-1
24,1543273838.6253846,1514,-1
25,1543273838.6260493,1514,-1
26,1543273838.6260753,1514,-1
27,1543273838.6260946,163,-1
28,1543273838.6262114,92,-1
29,1543273838.631656,74,-1
30,1543273838.6558976,60,-1
31,1543273838.656532,60,-1
32,1543273838.6565337,60,-1
33,1543273838.6565344,60,-1
34,1543273838.6683383,60,-1
35,1543273838.6683407,60,-1
36,1543273838.6683416,60,-1
37,1543273838.6723657,66,-1
38,1543273838.6738858,54,-1
39,1543273838.6753457,312,-1
40,1543273838.6823432,1514,-1
41,1543273838.6827092,1514,-1
42,1543273838.683127,1514,-1
43,1543273838.6831524,1152,-1
44,1543273838.7033389,172,-1
45,1543273838.716823,172,-1
46,1543273838.716919,60,-1
47,1543273838.7178805,60,-1
48,1543273838.7178814,191,-1
49,1543273838.719663,54,-1
50,1543273838.7201376,105,-1
51,1543273838.7227643,60,-1
52,1543273838.7231905,60,-1
53,1543273838.7308536,172,-1
54,1543273838.7389047,60,-1
55,1543273838.7415154,145,-1
56,1543273838.7415173,92,-1
57,1543273838.7430675,54,-1
58,1543273838.7518752,172,-1
59,1543273838.7704399,60,-1
60,1543273838.8077362,172,-1
61,1543273838.80788,172,-1
62,1543273838.8132663,60,-1
63,1543273838.8144348,172,-1
64,1543273838.8147416,765,-1
65,1543273838.8287394,172,-1
66,1543273838.8391252,60,-1
67,1543273838.8462222,60,-1
68,1543273838.846224,60,-1
69,1543273838.853795,60,-1
70,1543273838.8537967,60,-1
71,1543273838.8589873,417,-1
72,1543273838.8608356,85,-1
73,1543273838.8609865,54,-1
74,1543273838.8633535,172,-1
75,1543273838.8675702,60,-1
76,1543273838.877397,172,-1
77,1543273838.89255,172,-1
78,1543273838.8992982,60,-1
79,1543273838.9006772,54,-1
80,1543273838.902646,60,-1
81,1543273838.9057286,172,-1
82,1543273838.9167366,60,-1
83,1543273838.9326642,60,-1
84,1543273838.9407444,172,-1
85,1543273838.9417996,60,-1
86,1543273838.9542353,172,-1
87,1543273838.97524,172,-1
88,1543273838.9802883,60,-1
89,1543273838.9894154,172,-1
90,1543273838.991794,60,-1
91,1543273839.0107598,60,-1
92,1543273839.0236497,172,-1
93,1543273839.0257244,60,-1
94,1543273839.0376654,172,-1
95,1543273839.0520072,172,-1
96,1543273839.0659242,172,-1
97,1543273839.066099,60,-1
98,1543273839.0769222,60,-1
99,1543273839.0919337,60,-1
100,1543273839.1003726,172,-1
101,1543273839.1061635,60,-1
102,1543273839.1146283,172,-1
103,1543273839.124584,287,-1
104,1543273839.1255941,190,-1
105,1543273839.126671,1514,-1
106,1543273839.1267507,1514,-1
107,1543273839.1267698,853,-1
108,1543273839.1267936,136,-1
109,1543273839.1269183,92,-1
110,1543273839.1359353,172,-1
111,1543273839.1406538,60,-1
112,1543273839.149784,60,-1
113,1543273839.1502316,172,-1
114,1543273839.1620975,60,-1
115,1543273839.1681983,60,-1
116,1543273839.1704075,60,-1
117,1543273839.17597,60,-1
118,1543273839.175972,60,-1
119,1543273839.1838136,172,-1
120,1543273839.187636,60,-1
121,1543273839.1975057,172,-1
122,1543273839.2115557,172,-1
123,1543273839.21937,60,-1
124,1543273839.2255275,172,-1
125,1543273839.2325618,60,-1
