Serial number,time,size,direction
1,1543286771.7037745,100,1
2,1543286771.709936,100,-1
3,1543286771.7488158,60,1
4,1543286783.4685857,287,-1
5,1543286783.468849,190,-1
6,1543286783.471705,79,-1
7,1543286783.4811072,1514,-1
8,1543286783.482991,1514,-1
9,1543286783.4830174,1514,-1
10,1543286783.4830341,703,-1
11,1543286783.49792,127,-1
12,1543286783.505761,74,-1
13,1543286783.5086718,60,1
14,1543286783.5096192,60,1
15,1543286783.5122268,1514,-1
16,1543286783.5125601,1514,-1
17,1543286783.522809,60,1
18,1543286783.5263586,1514,-1
19,1543286783.527337,66,1
20,1543286783.5273387,66,1
21,1543286783.5288603,60,1
22,1543286783.5288615,60,1
23,1543286783.5295334,1514,-1
24,1543286783.5298998,1475,-1
25,1543286783.544394,66,-1
26,1543286783.5472064,54,-1
27,1543286783.5497618,1514,-1
28,1543286783.5510197,312,-1
29,1543286783.5523813,60,1
30,1543286783.5541098,1514,-1
31,1543286783.557342,60,1
32,1543286783.5621078,1514,-1
33,1543286783.5664837,60,1
34,1543286783.5683384,1514,-1
35,1543286783.5752833,60,1
36,1543286783.5752854,60,1
37,1543286783.5768578,210,-1
38,1543286783.5770822,172,-1
39,1543286783.587511,60,-1
40,1543286783.592477,60,1
41,1543286783.592481,60,-1
42,1543286783.5924828,191,-1
43,1543286783.5939646,172,-1
44,1543286783.5944102,54,-1
45,1543286783.595008,105,-1
46,1543286783.5988326,60,1
47,1543286783.6042783,60,1
48,1543286783.6088328,60,1
49,1543286783.612003,172,-1
50,1543286783.6160223,60,1
51,1543286783.6160245,60,1
52,1543286783.624866,172,-1
53,1543286783.6331732,60,1
54,1543286783.6510909,60,1
55,1543286783.6592414,147,1
56,1543286783.659244,92,1
57,1543286783.6600351,172,-1
58,1543286783.6609,54,-1
59,1543286783.673579,172,-1
60,1543286783.6880865,172,-1
61,1543286783.6882453,60,-1
62,1543286783.6898408,765,-1
63,1543286783.6984115,60,1
64,1543286783.7088883,172,-1
65,1543286783.727344,60,1
66,1543286783.7314353,60,-1
67,1543286783.7364585,172,-1
68,1543286783.739801,417,-1
69,1543286783.7415395,85,-1
70,1543286783.7417247,54,-1
71,1543286783.7502882,172,-1
72,1543286783.7716994,172,-1
73,1543286783.774409,60,1
74,1543286783.7795398,60,-1
75,1543286783.780966,54,-1
76,1543286783.784002,60,-1
77,1543286783.785379,172,-1
78,1543286783.8107975,60,1
79,1543286783.8226445,172,-1
80,1543286783.834565,172,-1
81,1543286783.8484082,172,-1
82,1543286783.8623967,172,-1
83,1543286783.862786,60,1
84,1543286783.8873434,60,1
85,1543286783.8972757,172,-1
86,1543286783.9113293,172,-1
87,1543286783.937577,60,1
88,1543286783.9493291,172,-1
89,1543286783.949503,172,-1
90,1543286783.9541311,287,-1
91,1543286783.9600391,190,-1
92,1543286783.9609947,1514,-1
93,1543286783.988091,60,1
94,1543286783.9897053,1514,-1
95,1543286783.9912052,1514,-1
96,1543286783.99325,60,1
97,1543286783.9959195,762,-1
98,1543286784.0057962,60,1
99,1543286784.0099492,172,-1
100,1543286784.0237586,172,-1
101,1543286784.0413003,60,1
102,1543286784.0416908,96,1
103,1543286784.0620477,172,-1
104,1543286784.0628612,60,1
105,1543286784.0820484,172,-1
106,1543286784.0875788,172,-1
107,1543286784.1080365,172,-1
108,1543286784.1218493,60,1
109,1543286784.1284373,149,1
110,1543286784.1284397,92,1
111,1543286784.1380718,172,-1
112,1543286784.150092,172,-1
113,1543286784.170344,172,-1
114,1543286784.1773365,60,1
115,1543286784.1846018,172,-1
116,1543286784.2128127,60,1
117,1543286784.219501,172,-1
118,1543286784.2331765,172,-1
119,1543286784.247685,172,-1
120,1543286784.2586226,60,1
121,1543286784.268462,172,-1
122,1543286784.2873995,60,1
123,1543286784.2969723,172,-1
124,1543286784.3105173,172,-1
125,1543286784.331067,172,-1
126,1543286784.3451474,172,-1
127,1543286784.3472733,60,1
128,1543286784.3708687,60,1
129,1543286784.380921,172,-1
130,1543286784.3952937,172,-1
131,1543286784.4087605,172,-1
132,1543286784.4209816,60,1
133,1543286784.4226198,172,-1
134,1543286784.45253,60,1
135,1543286784.4575038,172,-1
136,1543286784.4713967,172,-1
137,1543286784.493026,172,-1
138,1543286784.500688,60,1
139,1543286784.5072386,172,-1
140,1543286784.535121,172,-1
141,1543286784.5381665,60,1
142,1543286784.555708,172,-1
143,1543286784.5697498,172,-1
144,1543286784.578102,60,1
145,1543286784.5831032,172,-1
146,1543286784.6139097,60,1
147,1543286784.6438763,172,-1
148,1543286784.6440291,172,-1
149,1543286784.646091,172,-1
150,1543286784.6676464,172,-1
151,1543286784.668926,60,1
152,1543286784.6895907,60,1
153,1543286784.6942601,172,-1
154,1543286784.709059,60,1
155,1543286784.7152896,172,-1
156,1543286784.7295568,172,-1
157,1543286784.7388937,60,1
