Serial number,time,size,direction
1,1543285421.7058809,100,1
2,1543285421.7437143,100,-1
3,1543285421.785659,60,1
4,1543285435.5011272,66,-1
5,1543285435.5462282,66,-1
6,1543285440.3307233,288,-1
7,1543285440.332055,190,-1
8,1543285440.3336854,1514,-1
9,1543285440.3345387,1514,-1
10,1543285440.3345792,1514,-1
11,1543285440.3346121,703,-1
12,1543285440.3348126,132,-1
13,1543285440.3365235,180,-1
14,1543285440.338986,79,-1
15,1543285440.3658807,127,-1
16,1543285440.3705268,74,-1
17,1543285440.3727384,60,1
18,1543285440.3747003,1514,-1
19,1543285440.3785834,60,1
20,1543285440.3795671,60,1
21,1543285440.37957,60,1
22,1543285440.379574,60,1
23,1543285440.3795755,60,1
24,1543285440.3805602,1514,-1
25,1543285440.381532,1514,-1
26,1543285440.3822258,1514,-1
27,1543285440.3823187,1227,-1
28,1543285440.3823826,92,-1
29,1543285440.4072819,66,-1
30,1543285440.40885,54,-1
31,1543285440.4102411,312,-1
32,1543285440.416923,60,1
33,1543285440.423143,60,1
34,1543285440.4235435,60,1
35,1543285440.4284847,60,1
36,1543285440.4284883,60,1
37,1543285440.4284914,60,1
38,1543285440.4500418,60,-1
39,1543285440.4518611,60,-1
40,1543285440.4518633,191,-1
41,1543285440.4535167,54,-1
42,1543285440.454086,105,-1
43,1543285440.5044155,146,1
44,1543285440.5054834,92,1
45,1543285440.5085976,1514,-1
46,1543285440.5106688,1514,-1
47,1543285440.5107183,1514,-1
48,1543285440.510786,1514,-1
49,1543285440.5108476,492,-1
50,1543285440.511761,54,-1
51,1543285440.5223677,172,-1
52,1543285440.5358589,60,-1
53,1543285440.5364077,172,-1
54,1543285440.5380142,766,-1
55,1543285440.5507903,60,1
56,1543285440.5573835,60,1
57,1543285440.557386,60,1
58,1543285440.565652,60,1
59,1543285440.5711722,172,-1
60,1543285440.5772092,60,1
61,1543285440.5791771,60,-1
62,1543285440.584766,172,-1
63,1543285440.5870678,417,-1
64,1543285440.58901,85,-1
65,1543285440.5892203,54,-1
66,1543285440.5990665,172,-1
67,1543285440.6108215,60,1
68,1543285440.6249218,60,1
69,1543285440.6283336,60,-1
70,1543285440.638094,172,-1
71,1543285440.6396542,60,1
72,1543285440.6404154,54,-1
73,1543285440.6474864,172,-1
74,1543285440.6617155,172,-1
75,1543285440.6824987,60,1
76,1543285440.6827404,172,-1
77,1543285440.6874924,60,1
78,1543285440.6966262,172,-1
79,1543285440.702525,60,1
80,1543285440.7225661,60,1
81,1543285440.7319324,172,-1
82,1543285440.7400887,60,1
83,1543285440.745726,172,-1
84,1543285440.7594128,172,-1
85,1543285440.7719445,60,1
86,1543285440.7737577,172,-1
87,1543285440.7903032,60,1
88,1543285440.8047438,60,1
89,1543285440.810833,172,-1
90,1543285440.8145235,60,1
91,1543285440.825758,172,-1
92,1543285440.84475,288,-1
93,1543285440.8470225,190,-1
94,1543285440.8483732,1514,-1
95,1543285440.8486693,1514,-1
96,1543285440.8502152,1514,-1
97,1543285440.8502529,406,-1
98,1543285440.8519185,60,1
99,1543285440.8532271,292,-1
100,1543285440.8699512,60,1
101,1543285440.8712962,172,-1
102,1543285440.8886614,60,1
103,1543285440.889998,172,-1
104,1543285440.8954804,60,1
105,1543285440.8957875,60,1
106,1543285440.8957894,60,1
107,1543285440.8966436,96,1
108,1543285440.9074807,172,-1
109,1543285440.9208596,172,-1
110,1543285440.9349487,172,-1
111,1543285440.9358227,60,1
112,1543285440.9613035,60,1
113,1543285440.9702334,172,-1
114,1543285440.9846036,172,-1
115,1543285440.997947,172,-1
116,1543285441.0041769,146,1
117,1543285441.0041788,92,1
118,1543285441.0060434,54,-1
119,1543285441.0193481,172,-1
120,1543285441.0245857,60,1
121,1543285441.0466433,172,-1
122,1543285441.0650887,60,1
123,1543285441.0681434,172,-1
124,1543285441.0817387,172,-1
125,1543285441.0956833,172,-1
126,1543285441.1086044,60,1
127,1543285441.1338754,172,-1
128,1543285441.1413217,60,1
129,1543285441.1479626,172,-1
130,1543285441.1622708,172,-1
131,1543285441.1795697,172,-1
132,1543285441.1920722,60,1
133,1543285441.2097945,172,-1
134,1543285441.2218108,60,1
135,1543285441.2223299,172,-1
136,1543285441.2424583,172,-1
137,1543285441.2568226,172,-1
138,1543285441.2645116,60,1
139,1543285441.2919319,172,-1
140,1543285441.300383,60,1
141,1543285441.3056495,172,-1
142,1543285441.3413832,172,-1
143,1543285441.3416297,172,-1
144,1543285441.3479164,60,1
145,1543285441.3690796,172,-1
146,1543285441.382754,172,-1
147,1543285441.387626,60,1
148,1543285441.4037378,172,-1
149,1543285441.4177039,172,-1
150,1543285441.4259562,60,1
151,1543285441.4509656,172,-1
152,1543285441.4604893,60,1
153,1543285441.4690325,172,-1
154,1543285441.4808245,172,-1
155,1543285441.4949076,172,-1
156,1543285441.5099375,60,1
157,1543285441.529353,172,-1
158,1543285441.5362737,60,1
159,1543285441.543325,172,-1
160,1543285441.5585008,172,-1
161,1543285441.578517,172,-1
162,1543285441.5846992,60,1
163,1543285441.6069617,172,-1
164,1543285441.620167,60,1
165,1543285441.6278493,172,-1
166,1543285441.6413808,172,-1
167,1543285441.6554184,172,-1
168,1543285441.6751518,60,1
169,1543285441.6956239,172,-1
170,1543285441.7005546,60,1
171,1543285441.7078183,172,-1
172,1543285441.7197423,172,-1
173,1543285441.7396975,172,-1
174,1543285441.7506752,60,1
175,1543285441.7673507,172,-1
176,1543285441.7825186,60,1
177,1543285441.7877,172,-1
178,1543285441.8022127,172,-1
179,1543285441.8176253,172,-1
180,1543285441.828546,60,1
181,1543285441.8505301,172,-1
182,1543285441.8646255,60,1
183,1543285441.8649054,172,-1
184,1543285441.878727,172,-1
185,1543285441.8993506,172,-1
186,1543285441.9065154,60,1
187,1543285441.9298923,172,-1
188,1543285441.9416845,172,-1
189,1543285441.9444413,60,1
190,1543285441.9623268,172,-1
191,1543285441.976684,172,-1
192,1543285441.9859025,60,1
193,1543285442.016724,60,1
194,1543285442.043586,172,-1
195,1543285442.0437446,172,-1
196,1543285442.0438278,172,-1
197,1543285442.0594046,172,-1
198,1543285442.0839028,60,1
199,1543285442.0874617,172,-1
200,1543285442.1016812,172,-1
201,1543285442.1223648,172,-1
202,1543285442.1309423,60,1
203,1543285442.13649,172,-1
204,1543285442.166851,60,1
205,1543285442.1717927,172,-1
206,1543285442.1857522,172,-1
207,1543285442.1995487,172,-1
208,1543285442.2149873,60,1
209,1543285442.2157936,172,-1
210,1543285442.240414,60,1
211,1543285442.2486832,172,-1
212,1543285442.2626073,172,-1
213,1543285442.28399,172,-1
214,1543285442.2891924,60,1
215,1543285442.2977672,172,-1
216,1543285442.3259861,60,1
217,1543285442.3265905,172,-1
218,1543285442.3474002,172,-1
219,1543285442.3607676,172,-1
220,1543285442.3693998,60,1
221,1543285442.3748999,172,-1
222,1543285442.405438,60,1
223,1543285442.4113522,172,-1
224,1543285442.4237022,172,-1
225,1543285442.4393027,172,-1
226,1543285442.4527721,60,1
227,1543285442.4597397,172,-1
228,1543285442.4799304,60,1
229,1543285442.4867325,172,-1
230,1543285442.5076954,172,-1
231,1543285442.522859,172,-1
232,1543285442.530952,60,1
233,1543285442.5359988,172,-1
234,1543285442.564044,60,1
235,1543285442.5709145,172,-1
236,1543285442.5848258,172,-1
237,1543285442.5990503,172,-1
238,1543285442.6129274,60,1
239,1543285442.6194477,172,-1
240,1543285442.6429365,60,1
241,1543285442.6479917,172,-1
242,1543285442.6618855,172,-1
243,1543285442.6827009,172,-1
244,1543285442.692581,60,1
245,1543285442.6968052,172,-1
246,1543285442.7225828,60,1
247,1543285442.7435088,172,-1
248,1543285442.7458205,172,-1
249,1543285442.759871,172,-1
250,1543285442.773841,172,-1
251,1543285442.7851458,60,1
252,1543285442.8015103,60,1
253,1543285442.8089519,172,-1
254,1543285442.8228493,172,-1
255,1543285442.8439221,172,-1
256,1543285442.8527558,60,1
257,1543285442.8576047,172,-1
258,1543285442.8859286,172,-1
259,1543285442.8883188,60,1
260,1543285442.9065142,172,-1
261,1543285442.9206705,172,-1
262,1543285442.9279888,60,1
263,1543285442.9346523,172,-1
264,1543285442.9610815,60,1
265,1543285442.9696243,172,-1
266,1543285442.982475,172,-1
267,1543285443.0039265,172,-1
268,1543285443.0140643,60,1
269,1543285443.0176241,172,-1
270,1543285443.0443292,60,1
271,1543285443.0456047,172,-1
272,1543285443.066551,172,-1
