Serial number,time,size,direction
1,1543256802.294973,100,1
2,1543256802.300843,100,-1
3,1543256802.339432,60,1
4,1543256813.3153796,286,-1
5,1543256813.3155704,190,-1
6,1543256813.3207269,1078,-1
7,1543256813.3216696,1078,-1
8,1543256813.3217034,1078,-1
9,1543256813.32172,1078,-1
10,1543256813.321735,1078,-1
11,1543256813.3217528,111,-1
12,1543256813.3380494,79,-1
13,1543256813.3514209,60,1
14,1543256813.3563244,60,1
15,1543256813.3625042,66,1
16,1543256813.3625057,66,1
17,1543256813.362507,60,1
18,1543256813.3625078,60,1
19,1543256813.362897,60,1
20,1543256813.3628986,60,1
21,1543256813.3628993,127,-1
22,1543256813.3772757,1078,-1
23,1543256813.377609,1078,-1
24,1543256813.3779314,1078,-1
25,1543256813.379262,1078,-1
26,1543256813.379291,1078,-1
27,1543256813.379888,1078,-1
28,1543256813.379916,1078,-1
29,1543256813.3811598,263,-1
30,1543256813.382755,74,-1
31,1543256813.4160051,60,1
32,1543256813.4163756,60,1
33,1543256813.4200099,60,1
34,1543256813.4200125,60,1
35,1543256813.4200134,60,1
36,1543256813.4224684,66,-1
37,1543256813.4290442,54,-1
38,1543256813.4304743,312,-1
39,1543256813.431734,1078,-1
40,1543256813.4319108,1078,-1
41,1543256813.4337823,1078,-1
42,1543256813.433821,1078,-1
43,1543256813.4338381,1078,-1
44,1543256813.4338615,812,-1
45,1543256813.4439995,172,-1
46,1543256813.4684503,60,-1
47,1543256813.470094,60,-1
48,1543256813.4703603,191,-1
49,1543256813.4718819,54,-1
50,1543256813.472298,105,-1
51,1543256813.4724324,60,1
52,1543256813.472722,60,1
53,1543256813.4730742,60,1
54,1543256813.4730752,60,1
55,1543256813.4792454,172,-1
56,1543256813.4806051,60,1
57,1543256813.4928975,172,-1
58,1543256813.4991956,147,1
59,1543256813.4991977,92,1
60,1543256813.5060182,54,-1
61,1543256813.510828,172,-1
62,1543256813.5285184,172,-1
63,1543256813.5301244,60,1
64,1543256813.556111,172,-1
65,1543256813.5646362,60,1
66,1543256813.5734148,60,-1
67,1543256813.5749145,766,-1
68,1543256813.5777602,172,-1
69,1543256813.5910587,172,-1
70,1543256813.6053193,172,-1
71,1543256813.6156087,60,-1
72,1543256813.6172502,60,1
73,1543256813.621339,417,-1
74,1543256813.623496,85,-1
75,1543256813.6236415,54,-1
76,1543256813.6398127,172,-1
77,1543256813.64233,60,1
78,1543256813.6537473,172,-1
79,1543256813.6623032,60,-1
80,1543256813.6638653,54,-1
81,1543256813.6671488,60,-1
82,1543256813.6681187,172,-1
83,1543256813.6890588,172,-1
84,1543256813.6906369,60,1
85,1543256813.7170594,172,-1
86,1543256813.7256992,60,1
87,1543256813.7310076,172,-1
88,1543256813.751984,172,-1
89,1543256813.7658398,172,-1
90,1543256813.76895,60,1
91,1543256813.8022773,172,-1
92,1543256813.802752,60,1
93,1543256813.814757,172,-1
94,1543256813.8290527,172,-1
95,1543256813.8447526,172,-1
96,1543256813.8501647,60,1
97,1543256813.8504696,287,-1
98,1543256813.8511038,1078,-1
99,1543256813.8511438,1078,-1
100,1543256813.852187,1078,-1
101,1543256813.852224,1078,-1
102,1543256813.8522525,1078,-1
103,1543256813.852283,70,-1
104,1543256813.8767116,172,-1
105,1543256813.8800063,60,1
106,1543256813.8926203,172,-1
107,1543256813.8930273,60,1
108,1543256813.8934107,60,1
109,1543256813.9158986,172,-1
110,1543256813.9260516,172,-1
111,1543256813.9282544,60,1
112,1543256813.961336,172,-1
113,1543256813.96288,60,1
114,1543256813.9750166,172,-1
115,1543256813.989819,172,-1
116,1543256814.0030644,172,-1
117,1543256814.0063293,147,1
118,1543256814.0063348,92,1
119,1543256814.0103152,54,-1
120,1543256814.0254884,60,1
121,1543256814.0383403,172,-1
122,1543256814.0745556,60,1
123,1543256814.086219,172,-1
124,1543256814.0863957,172,-1
125,1543256814.0871387,172,-1
126,1543256814.1146376,172,-1
127,1543256814.1221457,60,1
128,1543256814.1356227,172,-1
129,1543256814.150129,172,-1
130,1543256814.1507392,60,1
131,1543256814.1639502,172,-1
132,1543256814.1874778,60,1
133,1543256814.1991096,172,-1
134,1543256814.212948,172,-1
135,1543256814.226755,172,-1
136,1543256814.2361934,60,1
137,1543256814.2479122,172,-1
138,1543256814.2655878,60,1
139,1543256814.2756956,172,-1
140,1543256814.2967343,172,-1
141,1543256814.3107128,172,-1
142,1543256814.3138983,60,1
143,1543256814.3249595,172,-1
144,1543256814.3472974,60,1
145,1543256814.359665,172,-1
146,1543256814.3746483,172,-1
147,1543256814.3880072,172,-1
148,1543256814.4042983,60,1
149,1543256814.408854,172,-1
150,1543256814.4126165,60,1
151,1543256814.4190772,60,1
152,1543256814.4253273,60,1
153,1543256814.4367964,172,-1
154,1543256814.4448314,60,1
155,1543256814.4575903,172,-1
156,1543256814.4716556,172,-1
157,1543256814.4717762,60,1
158,1543256814.487617,172,-1
159,1543256814.494228,60,1
160,1543256814.5086308,60,1
161,1543256814.5209436,172,-1
162,1543256814.5247169,60,1
163,1543256814.534911,172,-1
164,1543256814.5488853,172,-1
165,1543256814.5568724,60,1
166,1543256814.5629888,172,-1
167,1543256814.5729644,60,1
168,1543256814.5857565,60,1
169,1543256814.5976868,172,-1
170,1543256814.5999472,60,1
171,1543256814.6118612,172,-1
172,1543256814.633475,172,-1
173,1543256814.6338153,60,1
174,1543256814.6469185,172,-1
175,1543256814.647784,60,1
176,1543256814.6718342,60,1
177,1543256814.6752532,172,-1
178,1543256814.6828709,60,1
179,1543256814.6957364,172,-1
180,1543256814.7095904,172,-1
181,1543256814.710759,60,1
182,1543256814.7237253,172,-1
183,1543256814.7320125,60,1
184,1543256814.7452135,60,1
185,1543256814.76082,60,1
186,1543256814.782484,172,-1
187,1543256814.7827568,172,-1
188,1543256814.7988646,172,-1
189,1543256814.8130631,172,-1
190,1543256814.8217852,60,1
191,1543256814.836146,172,-1
192,1543256814.8388565,60,1
193,1543256814.848873,60,1
194,1543256814.855785,172,-1
195,1543256814.8702095,172,-1
196,1543256814.871594,60,1
197,1543256814.8842902,172,-1
198,1543256814.8915172,60,1
199,1543256814.9060657,60,1
200,1543256814.9190788,172,-1
201,1543256814.9201422,60,1
202,1543256814.932939,172,-1
203,1543256814.9467328,172,-1
204,1543256814.955546,60,1
205,1543256814.967769,172,-1
206,1543256814.9692569,60,1
207,1543256814.9829845,60,1
208,1543256814.9959927,172,-1
209,1543256815.0048676,60,1
210,1543256815.0166311,172,-1
211,1543256815.030955,172,-1
212,1543256815.0321147,60,1
213,1543256815.0452316,172,-1
214,1543256815.0523608,60,1
215,1543256815.067178,60,1
216,1543256815.0818644,60,1
217,1543256815.082091,172,-1
218,1543256815.0958865,172,-1
219,1543256815.1100926,172,-1
220,1543256815.1183367,60,1
221,1543256815.1290739,172,-1
222,1543256815.131507,60,1
223,1543256815.1542861,60,1
224,1543256815.1570032,172,-1
225,1543256815.1653259,60,1
226,1543256815.1710703,172,-1
227,1543256815.1921923,172,-1
228,1543256815.1923394,60,1
229,1543256815.207052,60,1
230,1543256815.208125,172,-1
231,1543256815.2281153,60,1
