Serial number,time,size,direction
1,1543281430.6592948,54,1
2,1543281431.7444417,100,-1
3,1543281432.040667,100,-1
4,1543281432.3501897,100,-1
5,1543281432.4379148,54,1
6,1543281432.4381444,66,1
7,1543281432.4382384,100,1
8,1543281432.438334,66,1
9,1543281432.5587265,60,-1
10,1543281435.3119254,60,-1
11,1543281435.3527958,54,1
12,1543281441.4222877,66,1
13,1543281444.6287835,287,1
14,1543281444.6381698,190,1
15,1543281444.661945,1514,1
16,1543281444.7006226,60,-1
17,1543281444.7069526,60,-1
18,1543281444.7301133,60,-1
19,1543281444.772381,1514,1
20,1543281444.7729905,1514,1
21,1543281444.773044,860,1
22,1543281444.7730734,132,1
23,1543281444.773274,79,1
24,1543281444.7736146,180,1
25,1543281444.77365,1514,1
26,1543281444.7739573,208,1
27,1543281444.7739923,1514,1
28,1543281444.7742524,1514,1
29,1543281444.7781327,1514,1
30,1543281444.7798355,1514,1
31,1543281444.7798872,1514,1
32,1543281444.779954,1514,1
33,1543281444.8115833,127,-1
34,1543281444.8150978,74,1
35,1543281444.84248,60,-1
36,1543281444.8490183,60,-1
37,1543281444.849021,60,-1
38,1543281444.849022,60,-1
39,1543281444.851147,60,-1
40,1543281444.8511493,60,-1
41,1543281444.8563502,60,-1
42,1543281444.8563511,60,-1
43,1543281444.8731437,66,-1
44,1543281444.926849,1514,1
45,1543281444.9273643,1514,1
46,1543281444.9274046,947,1
47,1543281444.9274242,54,1
48,1543281444.9285967,312,1
49,1543281444.938934,172,1
50,1543281444.9455376,145,-1
51,1543281444.9459827,92,-1
52,1543281444.947863,54,1
53,1543281444.9481971,54,1
54,1543281444.9608696,172,1
55,1543281444.9795136,172,1
56,1543281444.994415,60,-1
57,1543281444.9944174,60,-1
58,1543281444.9973898,60,-1
59,1543281444.9983404,60,-1
60,1543281444.9993875,1514,-1
61,1543281444.9997437,1514,-1
62,1543281445.0001032,1514,-1
63,1543281445.0003076,1049,-1
64,1543281445.0038872,60,-1
65,1543281445.0244474,60,-1
66,1543281445.0281286,1049,-1
67,1543281445.0442004,60,-1
68,1543281445.062878,54,1
69,1543281445.063092,54,1
70,1543281445.0665288,54,1
71,1543281445.0667381,54,1
72,1543281445.0679545,66,1
73,1543281445.076887,172,1
74,1543281445.1001124,172,1
75,1543281445.1112144,180,1
76,1543281445.1199834,172,1
77,1543281445.1356401,172,1
78,1543281445.1491215,172,1
79,1543281445.1525307,287,1
80,1543281445.153926,190,1
81,1543281445.155642,1514,1
82,1543281445.156817,1514,1
