Serial number,time,size,direction
1,1543286413.8921905,295,1
2,1543286413.9297016,146,-1
3,1543286413.9351926,54,1
4,1543286429.8690279,287,1
5,1543286429.8695076,190,1
6,1543286429.8712192,1514,1
7,1543286429.8712645,1514,1
8,1543286429.8713305,1514,1
9,1543286429.882814,79,1
10,1543286429.907791,127,-1
11,1543286429.9091287,60,-1
12,1543286429.9107792,1514,1
13,1543286429.9154897,60,-1
14,1543286429.91653,60,-1
15,1543286429.9165323,60,-1
16,1543286429.9189582,1514,1
17,1543286429.9201248,1514,1
18,1543286429.9205008,1514,1
19,1543286429.9205446,1514,1
20,1543286429.9205794,74,1
21,1543286429.9546149,60,-1
22,1543286429.9564412,682,1
23,1543286429.9616773,60,-1
24,1543286429.9666948,66,-1
25,1543286429.968219,54,1
26,1543286429.9700654,60,-1
27,1543286429.9700677,60,-1
28,1543286429.9708993,312,1
29,1543286429.9816363,1514,1
30,1543286429.9824958,1514,1
31,1543286429.9825468,1514,1
32,1543286429.9828105,1514,1
33,1543286429.9829054,92,1
34,1543286429.9972224,60,-1
35,1543286430.009414,60,-1
36,1543286430.0103905,60,-1
37,1543286430.0105817,191,-1
38,1543286430.0124543,54,1
39,1543286430.0126245,172,1
40,1543286430.013233,105,1
41,1543286430.0263286,172,1
42,1543286430.0269878,60,-1
43,1543286430.0269918,60,-1
44,1543286430.0269952,60,-1
45,1543286430.0398996,172,1
46,1543286430.0534203,60,-1
47,1543286430.054946,172,1
48,1543286430.0653877,60,-1
49,1543286430.0707157,147,-1
50,1543286430.0707178,92,-1
51,1543286430.0746331,54,1
52,1543286430.0886476,172,1
53,1543286430.0941608,60,-1
54,1543286430.1011586,60,-1
55,1543286430.1023111,172,1
56,1543286430.1025991,766,1
57,1543286430.1238117,172,1
58,1543286430.1375837,172,1
59,1543286430.1432624,60,-1
60,1543286430.1440966,60,-1
61,1543286430.1505494,417,-1
62,1543286430.1522534,85,1
63,1543286430.1524177,54,1
64,1543286430.165605,172,1
65,1543286430.176954,60,-1
66,1543286430.186833,172,1
67,1543286430.190672,60,-1
68,1543286430.191957,54,1
69,1543286430.2005076,172,1
70,1543286430.2145221,172,1
71,1543286430.2251627,60,-1
72,1543286430.24955,172,1
73,1543286430.2551203,60,-1
74,1543286430.262971,172,1
75,1543286430.2835186,172,1
76,1543286430.3006718,172,1
77,1543286430.307263,60,-1
78,1543286430.3255959,172,1
79,1543286430.339634,60,-1
80,1543286430.3465939,172,1
81,1543286430.360803,172,1
82,1543286430.3753822,172,1
83,1543286430.3785326,287,1
84,1543286430.379025,190,1
85,1543286430.3798807,1514,1
86,1543286430.3892863,60,-1
87,1543286430.391602,1514,1
88,1543286430.3919394,1514,1
89,1543286430.4147687,60,-1
90,1543286430.422121,60,-1
91,1543286430.4353108,60,-1
92,1543286430.447084,880,1
93,1543286430.4586203,172,1
94,1543286430.4759533,60,-1
95,1543286430.4854913,60,-1
96,1543286430.492239,172,1
97,1543286430.496269,60,-1
98,1543286430.5109546,172,1
99,1543286430.5219328,172,1
100,1543286430.5312536,60,-1
101,1543286430.5359955,172,1
102,1543286430.562411,60,-1
103,1543286430.570419,172,1
104,1543286430.5746858,60,-1
105,1543286430.5856762,172,1
106,1543286430.5882032,147,-1
107,1543286430.5882046,92,-1
108,1543286430.5925202,54,1
109,1543286430.6002111,172,1
110,1543286430.6194298,172,1
111,1543286430.6254156,60,-1
112,1543286430.6476192,172,1
113,1543286430.6619012,60,-1
114,1543286430.6621747,172,1
115,1543286430.6825845,172,1
116,1543286430.6965306,172,1
117,1543286430.701266,60,-1
118,1543286430.7322676,172,1
119,1543286430.7418013,60,-1
120,1543286430.7456305,172,1
121,1543286430.7601047,172,1
122,1543286430.774419,172,1
123,1543286430.7855496,60,-1
124,1543286430.8091033,172,1
125,1543286430.8173807,60,-1
126,1543286430.8225572,172,1
127,1543286430.8442237,172,1
128,1543286430.8576577,172,1
129,1543286430.8620298,60,-1
130,1543286430.8875616,172,1
131,1543286430.899366,60,-1
132,1543286430.9120896,172,1
133,1543286430.9211485,172,1
134,1543286430.9345827,172,1
135,1543286430.9508011,60,-1
136,1543286430.9699736,172,1
137,1543286430.9740946,60,-1
138,1543286430.9836788,172,1
139,1543286430.997599,172,1
140,1543286431.0204172,172,1
141,1543286431.0207825,60,-1
142,1543286431.0464942,172,1
143,1543286431.0629907,60,-1
144,1543286431.0677927,172,1
145,1543286431.082618,172,1
146,1543286431.096185,172,1
147,1543286431.106737,60,-1
148,1543286431.1355453,60,-1
149,1543286431.147134,172,1
150,1543286431.147298,172,1
151,1543286431.158955,172,1
152,1543286431.1794314,172,1
153,1543286431.1905196,60,-1
154,1543286431.2077975,172,1
155,1543286431.2209346,60,-1
156,1543286431.2219868,172,1
157,1543286431.2423968,172,1
158,1543286431.2570472,172,1
159,1543286431.260509,60,-1
160,1543286431.2915876,172,1
161,1543286431.2996294,60,-1
162,1543286431.305652,172,1
163,1543286431.3198407,172,1
164,1543286431.3312652,96,-1
165,1543286431.3340147,172,1
166,1543286431.36434,60,-1
167,1543286431.3689528,172,1
168,1543286431.3828003,172,1
169,1543286431.4037514,172,1
170,1543286431.4080324,60,-1
171,1543286431.4220765,172,1
172,1543286431.4430306,60,-1
173,1543286431.4479356,172,1
174,1543286431.4666097,172,1
175,1543286431.480527,172,1
176,1543286431.4861753,60,-1
177,1543286431.4949973,172,1
178,1543286431.519528,60,-1
179,1543286431.52937,172,1
180,1543286431.543407,172,1
181,1543286431.5581546,172,1
182,1543286431.567865,60,-1
183,1543286431.578828,172,1
184,1543286431.5980136,60,-1
185,1543286431.6066656,172,1
186,1543286431.627957,172,1
187,1543286431.6415737,172,1
188,1543286431.6464107,60,-1
189,1543286431.6565962,172,1
190,1543286431.6814215,60,-1
191,1543286431.6910975,172,1
192,1543286431.704804,172,1
193,1543286431.7189097,172,1
194,1543286431.729315,60,-1
195,1543286431.7421477,172,1
196,1543286431.7623389,60,-1
197,1543286431.7676296,172,1
198,1543286431.7816093,172,1
199,1543286431.8026793,172,1
200,1543286431.809051,60,-1
201,1543286431.841972,172,1
202,1543286431.8420317,60,-1
203,1543286431.8511176,172,1
204,1543286431.8655558,172,1
205,1543286431.879383,172,1
206,1543286431.891506,60,-1
207,1543286431.8994224,172,1
208,1543286431.922552,60,-1
209,1543286431.9277842,172,1
210,1543286431.9415922,172,1
211,1543286431.9624543,172,1
212,1543286431.9677227,60,-1
213,1543286431.977193,172,1
214,1543286432.0005853,60,-1
215,1543286432.0111551,172,1
216,1543286432.0252438,172,1
217,1543286432.0395422,172,1
218,1543286432.049366,60,-1
219,1543286432.0595427,172,1
220,1543286432.0795398,60,-1
221,1543286432.087394,172,1
222,1543286432.1019862,172,1
223,1543286432.122578,172,1
224,1543286432.126022,60,-1
225,1543286432.136621,172,1
226,1543286432.1746447,60,-1
227,1543286432.1752145,172,1
228,1543286432.1867185,172,1
229,1543286432.1996462,172,1
230,1543286432.214326,60,-1
231,1543286432.2207549,172,1
232,1543286432.2380242,60,-1
233,1543286432.248113,172,1
234,1543286432.2621174,172,1
235,1543286432.2832384,172,1
236,1543286432.2917686,60,-1
237,1543286432.2965472,172,1
238,1543286432.3223023,60,-1
239,1543286432.3315024,172,1
240,1543286432.332377,434,-1
241,1543286432.3481195,136,1
242,1543286432.348286,92,1
243,1543286432.3508182,707,-1
244,1543286432.3691502,74,1
245,1543286432.3839896,54,1
246,1543286432.3911686,60,-1
247,1543286432.409206,66,-1
248,1543286432.410424,54,1
249,1543286432.411808,312,1
250,1543286432.4503648,60,-1
251,1543286432.4542105,60,-1
252,1543286432.4542122,191,-1
253,1543286432.4572616,54,1
254,1543286432.4594762,105,1
255,1543286432.5499325,60,-1
256,1543286432.5546105,811,1
257,1543286432.5962899,60,-1
258,1543286432.5964773,460,-1
259,1543286432.6005394,417,-1
260,1543286432.603038,54,1
261,1543286432.605123,85,1
262,1543286432.605256,54,1
263,1543286432.6189008,74,1
264,1543286432.646663,60,-1
265,1543286432.6466658,60,-1
266,1543286432.6495528,54,1
267,1543286432.6566758,66,-1
268,1543286432.6581972,54,1
269,1543286432.6610498,312,1
270,1543286432.7033947,60,-1
271,1543286432.7043133,191,-1
272,1543286432.7043157,60,-1
273,1543286432.7088022,54,1
274,1543286432.7091455,54,1
275,1543286432.7092795,105,1
276,1543286432.7916086,60,-1
277,1543286432.7962458,782,1
278,1543286432.841478,60,-1
279,1543286432.850757,417,-1
280,1543286432.8548918,85,1
281,1543286432.8550558,54,1
282,1543286432.880957,287,1
283,1543286432.8816338,190,1
284,1543286432.8846939,1514,1
285,1543286432.8852534,1514,1
286,1543286432.8852797,1514,1
287,1543286432.8852963,402,1
288,1543286432.8853092,136,1
289,1543286432.8933537,60,-1
290,1543286432.8946047,54,1
291,1543286432.924032,60,-1
292,1543286432.92517,92,1
293,1543286432.93188,60,-1
294,1543286432.93271,60,-1
295,1543286432.965515,60,-1
296,1543286432.976879,1514,-1
297,1543286432.9769902,1514,-1
298,1543286432.977083,1514,-1
299,1543286432.977203,1514,-1
300,1543286432.9773204,1514,-1
301,1543286432.9774408,1514,-1
302,1543286432.9775715,1514,-1
303,1543286432.9777107,1514,-1
304,1543286432.977822,1514,-1
305,1543286432.978033,1514,-1
306,1543286432.9808333,54,1
307,1543286432.9810104,54,1
308,1543286432.9811468,54,1
309,1543286432.9812882,54,1
310,1543286432.981435,54,1
311,1543286432.9815075,54,1
312,1543286432.9815788,54,1
313,1543286432.9849422,54,1
314,1543286432.9850285,54,1
315,1543286432.9851694,54,1
316,1543286433.0211353,1514,-1
317,1543286433.0214415,1514,-1
318,1543286433.0215888,1514,-1
319,1543286433.0217824,1514,-1
320,1543286433.0219014,1514,-1
321,1543286433.0220256,1514,-1
322,1543286433.0222185,1514,-1
323,1543286433.0224466,1514,-1
