Serial number,time,size,direction
1,1543722998.6373198,66,1
2,1543722998.6739478,66,-1
3,1543723002.249404,295,-1
4,1543723002.2891803,146,-1
5,1543723002.2910533,54,-1
6,1543723006.3916545,288,-1
7,1543723006.3963444,1514,-1
8,1543723006.3972938,1514,-1
9,1543723006.397347,1286,-1
10,1543723006.398661,1514,-1
11,1543723006.4249299,79,-1
12,1543723006.4356496,60,-1
13,1543723006.4393353,1514,-1
14,1543723006.440892,60,-1
15,1543723006.4443886,1514,-1
16,1543723006.4455104,66,-1
17,1543723006.4455137,60,-1
18,1543723006.4455159,60,-1
19,1543723006.4455175,60,-1
20,1543723006.4473221,1514,-1
21,1543723006.4477534,454,-1
22,1543723006.4571373,127,-1
23,1543723006.4600303,74,-1
24,1543723006.4821239,60,-1
25,1543723006.4883282,60,-1
26,1543723006.494016,1514,-1
27,1543723006.4955223,1514,-1
28,1543723006.496416,1514,-1
29,1543723006.4968421,60,-1
30,1543723006.4972239,66,-1
31,1543723006.49889,1510,-1
32,1543723006.499244,54,-1
33,1543723006.5007217,312,-1
34,1543723006.5166886,172,-1
35,1543723006.539395,60,-1
36,1543723006.5393982,60,-1
37,1543723006.5413604,60,-1
38,1543723006.5426006,60,-1
39,1543723006.5429757,191,-1
40,1543723006.5431018,172,-1
41,1543723006.5448813,54,-1
42,1543723006.5452025,172,-1
43,1543723006.5453587,105,-1
44,1543723006.54572,60,-1
45,1543723006.5572445,60,-1
46,1543723006.5586631,172,-1
47,1543723006.56323,146,-1
48,1543723006.563232,92,-1
49,1543723006.5688322,54,-1
50,1543723006.5908482,60,-1
51,1543723006.5936394,172,-1
52,1543723006.607535,172,-1
53,1543723006.6288924,172,-1
54,1543723006.6349812,60,-1
55,1543723006.6375122,60,-1
56,1543723006.6390865,765,-1
57,1543723006.6441848,172,-1
58,1543723006.6701531,60,-1
59,1543723006.6765716,172,-1
60,1543723006.6774724,60,-1
61,1543723006.683527,417,-1
62,1543723006.686905,85,-1
63,1543723006.6872141,54,-1
64,1543723006.690646,172,-1
65,1543723006.7050445,172,-1
66,1543723006.7188315,172,-1
67,1543723006.719606,60,-1
68,1543723006.7245233,60,-1
69,1543723006.725883,54,-1
70,1543723006.729599,60,-1
71,1543723006.7467618,60,-1
72,1543723006.7534413,172,-1
73,1543723006.7679603,172,-1
74,1543723006.781661,172,-1
75,1543723006.7945235,60,-1
76,1543723006.8023818,172,-1
77,1543723006.823747,60,-1
78,1543723006.8307605,172,-1
79,1543723006.8515549,172,-1
80,1543723006.8656383,172,-1
81,1543723006.872416,60,-1
82,1543723006.8798833,172,-1
83,1543723006.8967488,287,-1
84,1543723006.8970845,190,-1
85,1543723006.9074993,60,-1
86,1543723006.9096637,1514,-1
87,1543723006.9105406,1514,-1
88,1543723006.9397852,60,-1
89,1543723006.9418292,1209,-1
90,1543723006.944517,172,-1
91,1543723006.9625864,172,-1
92,1543723006.965874,60,-1
93,1543723006.9896367,60,-1
94,1543723006.9905555,172,-1
95,1543723007.0119693,172,-1
96,1543723007.0256932,172,-1
97,1543723007.032015,60,-1
98,1543723007.0393987,172,-1
99,1543723007.0678592,60,-1
100,1543723007.0746799,172,-1
101,1543723007.0887747,172,-1
102,1543723007.091711,146,-1
103,1543723007.0917137,92,-1
104,1543723007.0935621,54,-1
105,1543723007.1035738,172,-1
106,1543723007.1247206,172,-1
107,1543723007.1321437,60,-1
108,1543723007.152176,172,-1
109,1543723007.1666765,60,-1
110,1543723007.193777,172,-1
111,1543723007.1939917,172,-1
112,1543723007.2008903,172,-1
113,1543723007.2358778,172,-1
114,1543723007.244265,60,-1
115,1543723007.251411,60,-1
116,1543723007.2516317,172,-1
117,1543723007.2638028,172,-1
118,1543723007.2775586,172,-1
119,1543723007.2933443,60,-1
120,1543723007.3130658,172,-1
121,1543723007.3190668,60,-1
122,1543723007.3266473,172,-1
123,1543723007.3481216,172,-1
124,1543723007.3627126,172,-1
125,1543723007.366712,60,-1
126,1543723007.3964252,172,-1
