Serial number,time,size,direction
1,1541450276.2456572,100,1
2,1541450276.2519832,100,-1
3,1541450276.2900789,60,1
4,1541450296.8726857,287,-1
5,1541450296.8732476,190,-1
6,1541450296.8735366,1514,-1
7,1541450296.8739312,1514,-1
8,1541450296.8739758,1471,-1
9,1541450296.874045,132,-1
10,1541450296.8751278,180,-1
11,1541450296.885197,79,-1
12,1541450296.910322,95,-1
13,1541450296.9107683,60,1
14,1541450296.9133751,1514,-1
15,1541450296.9167578,60,1
16,1541450296.9170673,74,-1
17,1541450296.9178681,60,1
18,1541450296.9178705,60,1
19,1541450296.9178755,60,1
20,1541450296.9178772,60,1
21,1541450296.9188735,1514,-1
22,1541450296.9199452,1514,-1
23,1541450296.9213946,1514,-1
24,1541450296.9214349,547,-1
25,1541450296.9519482,60,1
26,1541450296.9569454,66,-1
27,1541450296.9581528,54,-1
28,1541450296.9628417,60,1
29,1541450296.9628456,60,1
30,1541450296.963212,60,1
31,1541450296.9640076,312,-1
32,1541450296.98812,1514,-1
33,1541450296.9892519,1514,-1
34,1541450296.991161,1514,-1
35,1541450296.9912345,1514,-1
36,1541450296.99125,652,-1
37,1541450296.996308,60,-1
38,1541450297.0018034,60,-1
39,1541450297.002515,191,-1
40,1541450297.0037,54,-1
41,1541450297.0040855,105,-1
42,1541450297.0146976,172,-1
43,1541450297.0263436,60,1
44,1541450297.0292497,172,-1
45,1541450297.0324383,60,1
46,1541450297.0327907,60,1
47,1541450297.0327916,60,1
48,1541450297.042714,172,-1
49,1541450297.0436382,146,1
50,1541450297.0436394,92,1
51,1541450297.0478246,54,-1
52,1541450297.0558884,172,-1
53,1541450297.0675135,60,1
54,1541450297.0891764,60,-1
55,1541450297.090747,766,-1
56,1541450297.090975,172,-1
57,1541450297.0934274,60,1
58,1541450297.104549,172,-1
59,1541450297.125615,172,-1
60,1541450297.1291966,60,-1
61,1541450297.1396844,172,-1
62,1541450297.1426337,60,1
63,1541450297.167909,172,-1
64,1541450297.177668,60,1
65,1541450297.1884818,172,-1
66,1541450297.2027807,172,-1
67,1541450297.2163877,172,-1
68,1541450297.2265368,60,1
69,1541450297.230743,419,-1
70,1541450297.2326663,85,-1
71,1541450297.232874,54,-1
72,1541450297.2513018,172,-1
73,1541450297.2543957,60,1
74,1541450297.2653935,172,-1
75,1541450297.2704556,60,-1
76,1541450297.2707,60,-1
77,1541450297.273262,54,-1
78,1541450297.2792916,172,-1
79,1541450297.2992978,172,-1
80,1541450297.303136,60,1
81,1541450297.3279922,172,-1
82,1541450297.3367045,60,1
83,1541450297.3493907,172,-1
84,1541450297.3691664,172,-1
85,1541450297.3770995,172,-1
86,1541450297.388133,60,1
87,1541450297.392102,287,-1
88,1541450297.392833,190,-1
89,1541450297.3974338,1514,-1
90,1541450297.398246,1514,-1
91,1541450297.3997564,1174,-1
92,1541450297.4142804,60,1
93,1541450297.415755,292,-1
94,1541450297.425532,172,-1
95,1541450297.4341872,60,1
96,1541450297.4397578,172,-1
97,1541450297.4428484,60,1
98,1541450297.4437466,96,1
99,1541450297.4592896,172,-1
100,1541450297.4636471,60,1
101,1541450297.4960408,172,-1
102,1541450297.4967203,60,1
103,1541450297.5087595,172,-1
104,1541450297.522378,172,-1
105,1541450297.5363147,172,-1
106,1541450297.5456696,146,1
107,1541450297.5456715,92,1
108,1541450297.547329,54,-1
109,1541450297.5599961,60,1
110,1541450297.5713959,172,-1
111,1541450297.5853875,172,-1
112,1541450297.5994558,172,-1
113,1541450297.6087117,60,1
114,1541450297.6206641,172,-1
115,1541450297.637569,60,1
116,1541450297.648322,172,-1
117,1541450297.6693034,172,-1
118,1541450297.6838167,172,-1
119,1541450297.6881533,60,1
120,1541450297.6975875,172,-1
121,1541450297.7215824,60,1
122,1541450297.732298,172,-1
123,1541450297.745943,172,-1
124,1541450297.7593668,172,-1
125,1541450297.7696402,60,1
126,1541450297.7804813,172,-1
127,1541450297.7969794,60,1
128,1541450297.8087344,172,-1
129,1541450297.8295555,172,-1
130,1541450297.8464575,60,1
131,1541450297.8481119,172,-1
132,1541450297.8633938,172,-1
133,1541450297.885661,60,1
134,1541450297.899185,172,-1
135,1541450297.9062693,172,-1
136,1541450297.919968,172,-1
137,1541450297.9366467,60,1
138,1541450297.9406536,172,-1
139,1541450297.9576726,60,1
140,1541450297.9688058,172,-1
141,1541450297.9892547,172,-1
142,1541450298.0032663,172,-1
143,1541450298.0066943,60,1
144,1541450298.017733,172,-1
145,1541450298.0407777,60,1
146,1541450298.0523527,172,-1
147,1541450298.0662625,172,-1
148,1541450298.080233,172,-1
149,1541450298.0893915,60,1
150,1541450298.1016762,172,-1
151,1541450298.1181915,60,1
152,1541450298.1322775,172,-1
153,1541450298.146602,172,-1
154,1541450298.1681328,172,-1
155,1541450298.1696522,60,1
156,1541450298.1976843,172,-1
157,1541450298.2055223,60,1
158,1541450298.213722,172,-1
159,1541450298.2273786,172,-1
160,1541450298.2413585,172,-1
161,1541450298.251226,60,1
162,1541450298.2554483,172,-1
163,1541450298.279258,60,1
164,1541450298.2910159,172,-1
165,1541450298.3043253,172,-1
166,1541450298.3252969,172,-1
167,1541450298.3287048,60,1
168,1541450298.3397741,172,-1
169,1541450298.3674867,172,-1
170,1541450298.371356,60,1
171,1541450298.3906758,172,-1
172,1541450298.405078,172,-1
173,1541450298.4052746,60,1
174,1541450298.4186692,172,-1
175,1541450298.4424567,60,1
176,1541450298.4509132,172,-1
177,1541450298.4650192,172,-1
178,1541450298.4786406,172,-1
179,1541450298.4884992,60,1
180,1541450298.4993913,172,-1
181,1541450298.5173903,60,1
182,1541450298.5275369,172,-1
