Serial number,time,size,direction
1,1543285901.7037783,100,1
2,1543285901.708987,100,-1
3,1543285901.7492821,60,1
4,1543285904.4268067,287,-1
5,1543285904.4271984,1514,-1
6,1543285904.4272385,1514,-1
7,1543285904.4274426,1514,-1
8,1543285904.4274652,839,-1
9,1543285904.4344397,79,-1
10,1543285904.4633653,127,-1
11,1543285904.4689367,60,1
12,1543285904.469932,74,-1
13,1543285904.4703894,1514,-1
14,1543285904.476021,66,1
15,1543285904.4760242,66,1
16,1543285904.4760256,60,1
17,1543285904.4760268,60,1
18,1543285904.4760275,60,1
19,1543285904.4781094,1514,-1
20,1543285904.4791598,1514,-1
21,1543285904.4791908,1514,-1
22,1543285904.4795196,1445,-1
23,1543285904.5081773,1514,-1
24,1543285904.5155907,66,-1
25,1543285904.5169125,60,1
26,1543285904.522454,54,-1
27,1543285904.5231864,60,1
28,1543285904.5231874,60,1
29,1543285904.5241315,312,-1
30,1543285904.524152,1514,-1
31,1543285904.5246801,60,1
32,1543285904.5247045,1514,-1
33,1543285904.5250306,1472,-1
34,1543285904.5375388,172,-1
35,1543285904.5511456,60,1
36,1543285904.5516844,172,-1
37,1543285904.5654716,172,-1
38,1543285904.5657418,60,-1
39,1543285904.566723,60,-1
40,1543285904.5667253,191,-1
41,1543285904.5680602,60,1
42,1543285904.5696259,54,-1
43,1543285904.5700486,105,-1
44,1543285904.5764475,60,1
45,1543285904.576449,60,1
46,1543285904.5791507,60,1
47,1543285904.58601,172,-1
48,1543285904.5926566,60,1
49,1543285904.608062,60,1
50,1543285904.6111374,146,1
51,1543285904.6111386,92,1
52,1543285904.6132143,54,-1
53,1543285904.6160269,172,-1
54,1543285904.6348815,172,-1
55,1543285904.6492484,172,-1
56,1543285904.6524415,60,-1
57,1543285904.6560032,765,-1
58,1543285904.6604161,60,1
59,1543285904.663159,172,-1
60,1543285904.6916344,60,1
61,1543285904.6984582,60,-1
62,1543285904.6991925,172,-1
63,1543285904.7058027,417,-1
64,1543285904.7082396,85,-1
65,1543285904.7084553,54,-1
66,1543285904.71232,172,-1
67,1543285904.7454276,60,1
68,1543285904.7463152,172,-1
69,1543285904.7470458,172,-1
70,1543285904.748699,60,-1
71,1543285904.750299,54,-1
72,1543285904.7753634,172,-1
73,1543285904.7901018,172,-1
74,1543285904.7910497,60,1
75,1543285904.8102384,172,-1
76,1543285904.822491,60,1
77,1543285904.8248212,172,-1
78,1543285904.8523674,60,1
79,1543285904.85871,172,-1
80,1543285904.8729687,172,-1
81,1543285904.8870502,172,-1
82,1543285904.9007075,172,-1
83,1543285904.9022737,60,1
84,1543285904.9290357,60,1
85,1543285904.936321,172,-1
86,1543285904.9411871,286,-1
87,1543285904.9473958,190,-1
88,1543285904.9503536,1514,-1
89,1543285904.9509332,1514,-1
90,1543285904.9510164,1514,-1
91,1543285904.979216,60,1
92,1543285904.980921,762,-1
93,1543285904.9846196,172,-1
94,1543285904.992942,60,1
95,1543285905.0035098,60,1
96,1543285905.0186796,172,-1
97,1543285905.0244944,60,1
98,1543285905.0326166,172,-1
99,1543285905.0467455,172,-1
100,1543285905.0605884,60,1
101,1543285905.0610611,172,-1
102,1543285905.0909023,60,1
103,1543285905.0970266,172,-1
104,1543285905.1097028,172,-1
105,1543285905.131105,172,-1
106,1543285905.1409287,60,1
107,1543285905.1424978,146,1
108,1543285905.142499,92,1
109,1543285905.1443005,172,-1
110,1543285905.1766884,60,1
111,1543285905.1801164,172,-1
112,1543285905.1926966,172,-1
113,1543285905.206821,172,-1
114,1543285905.220826,172,-1
115,1543285905.221254,60,1
116,1543285905.2497826,60,1
117,1543285905.2557952,172,-1
118,1543285905.2697024,172,-1
119,1543285905.2910295,172,-1
120,1543285905.2960205,60,1
121,1543285905.309131,172,-1
122,1543285905.3321407,60,1
123,1543285905.3328674,172,-1
124,1543285905.354202,172,-1
125,1543285905.3687196,172,-1
126,1543285905.3767328,60,1
127,1543285905.3840065,172,-1
128,1543285905.409269,60,1
129,1543285905.4392097,172,-1
130,1543285905.439376,172,-1
131,1543285905.445679,172,-1
132,1543285905.4655902,60,1
133,1543285905.4659605,172,-1
134,1543285905.4796202,60,1
135,1543285905.4870245,60,1
136,1543285905.4941008,172,-1
137,1543285905.5060062,60,1
138,1543285905.514942,172,-1
139,1543285905.5289068,172,-1
140,1543285905.5345097,60,1
141,1543285905.5430467,172,-1
142,1543285905.560678,60,1
143,1543285905.5747335,60,1
144,1543285905.578021,172,-1
145,1543285905.5852547,60,1
146,1543285905.5928178,172,-1
147,1543285905.606337,172,-1
148,1543285905.6201384,60,1
149,1543285905.6277306,172,-1
150,1543285905.637665,60,1
151,1543285905.6490428,60,1
152,1543285905.6551573,172,-1
153,1543285905.6689095,172,-1
154,1543285905.6703339,60,1
155,1543285905.6896024,172,-1
156,1543285905.696921,60,1
157,1543285905.7037518,172,-1
158,1543285905.7102687,60,1
159,1543285905.7296536,60,1
160,1543285905.738662,172,-1
161,1543285905.7448494,60,1
162,1543285905.7526567,172,-1
163,1543285905.7668111,172,-1
164,1543285905.7819064,60,1
165,1543285905.7824526,172,-1
166,1543285905.793246,60,1
167,1543285905.807036,60,1
168,1543285905.816025,172,-1
169,1543285905.8292925,60,1
170,1543285905.8299284,172,-1
171,1543285905.8535187,172,-1
172,1543285905.8566089,60,1
173,1543285905.8649623,172,-1
174,1543285905.8715544,60,1
175,1543285905.89301,172,-1
176,1543285905.8939283,60,1
177,1543285905.9047747,60,1
178,1543285905.9138696,172,-1
179,1543285905.9279282,172,-1
180,1543285905.9334831,60,1
181,1543285905.941547,172,-1
182,1543285905.9542456,60,1
183,1543285905.9690824,60,1
184,1543285905.976774,172,-1
185,1543285905.983217,60,1
186,1543285905.9907427,172,-1
187,1543285906.0048013,172,-1
188,1543285906.016442,60,1
189,1543285906.0260353,172,-1
190,1543285906.0315175,60,1
191,1543285906.0455,60,1
192,1543285906.0539095,172,-1
193,1543285906.0661132,60,1
194,1543285906.077084,172,-1
195,1543285906.091055,172,-1
196,1543285906.094585,60,1
197,1543285906.1049893,172,-1
198,1543285906.1172519,60,1
199,1543285906.1323433,60,1
200,1543285906.144427,172,-1
201,1543285906.145258,60,1
202,1543285906.1516435,172,-1
203,1543285906.1657028,172,-1
204,1543285906.1867778,172,-1
205,1543285906.187501,60,1
206,1543285906.194574,60,1
207,1543285906.2121615,60,1
208,1543285906.2149048,172,-1
209,1543285906.2287252,172,-1
210,1543285906.23133,60,1
211,1543285906.255507,60,1
212,1543285906.2710128,60,1
213,1543285906.3304596,172,-1
214,1543285906.3306327,172,-1
215,1543285906.3307188,172,-1
216,1543285906.3307986,172,-1
217,1543285906.3309085,172,-1
218,1543285906.3412313,172,-1
219,1543285906.372017,60,1
220,1543285906.383185,60,1
221,1543285906.4267166,172,-1
222,1543285906.4658108,526,-1
223,1543285906.4689445,60,1
224,1543285906.4747353,172,-1
225,1543285906.4890275,172,-1
226,1543285906.503249,172,-1
227,1543285906.507082,60,1
228,1543285906.5163841,60,1
229,1543285906.529958,60,1
230,1543285906.539998,172,-1
231,1543285906.5453756,60,1
232,1543285906.568247,172,-1
233,1543285906.572411,172,-1
234,1543285906.5805333,60,1
235,1543285906.598152,172,-1
236,1543285906.6085217,60,1
237,1543285906.6134367,60,1
238,1543285906.6156821,172,-1
239,1543285906.634901,172,-1
240,1543285906.639374,60,1
241,1543285906.6487443,172,-1
242,1543285906.659416,60,1
243,1543285906.6626608,172,-1
244,1543285906.6831162,60,1
245,1543285906.6925414,60,1
246,1543285906.7023275,60,1
247,1543285906.705454,172,-1
248,1543285906.7156038,172,-1
249,1543285906.731447,172,-1
250,1543285906.7465084,60,1
251,1543285906.7574618,434,1
252,1543285906.7711277,714,1
253,1543285906.7796397,172,-1
254,1543285906.7797794,172,-1
255,1543285906.7814147,54,-1
256,1543285906.791374,136,-1
257,1543285906.7915123,92,-1
258,1543285906.7990627,74,-1
259,1543285906.8153832,60,1
260,1543285906.8214483,60,1
261,1543285906.821451,60,1
262,1543285906.8317015,60,1
263,1543285906.839537,66,-1
264,1543285906.9691503,92,-1
265,1543285906.9710732,54,-1
266,1543285906.9719849,312,-1
267,1543285907.011244,60,1
268,1543285907.0189865,60,-1
269,1543285907.0189886,60,-1
270,1543285907.019132,191,-1
271,1543285907.02182,54,-1
272,1543285907.022141,105,-1
273,1543285907.1032062,60,-1
274,1543285907.1064541,460,1
275,1543285907.1142066,811,-1
276,1543285907.1143699,74,-1
277,1543285907.1448162,54,-1
278,1543285907.1558187,66,-1
279,1543285907.1562912,60,-1
280,1543285907.1580372,54,-1
281,1543285907.159255,312,-1
282,1543285907.164139,417,-1
283,1543285907.1660979,85,-1
284,1543285907.166778,54,-1
285,1543285907.2025826,60,-1
286,1543285907.210296,60,-1
287,1543285907.2103012,191,-1
