Serial number,time,size,direction
1,1543264254.768631,295,1
2,1543264254.807239,146,-1
3,1543264254.8089814,54,1
4,1543264262.0778484,286,1
5,1543264262.0788317,190,1
6,1543264262.078919,1514,1
7,1543264262.0789444,1514,1
8,1543264262.0789618,1514,1
9,1543264262.0790002,122,1
10,1543264262.086148,79,1
11,1543264262.1117225,127,-1
12,1543264262.114252,60,-1
13,1543264262.1151597,60,-1
14,1543264262.119879,66,-1
15,1543264262.1207259,66,-1
16,1543264262.120727,66,-1
17,1543264262.1212904,60,-1
18,1543264262.1212914,60,-1
19,1543264262.122013,96,-1
20,1543264262.1270645,1514,1
21,1543264262.1273828,1514,1
22,1543264262.1294444,1514,1
23,1543264262.1295257,1514,1
24,1543264262.1295693,1514,1
25,1543264262.129586,886,1
26,1543264262.1299732,74,1
27,1543264262.1614096,54,1
28,1543264262.1638536,60,-1
29,1543264262.1712866,60,-1
30,1543264262.171853,60,-1
31,1543264262.1735342,66,-1
32,1543264262.2460523,1514,1
33,1543264262.2462945,1514,1
34,1543264262.246974,1514,1
35,1543264262.2469978,1514,1
36,1543264262.2470148,54,1
37,1543264262.2475426,145,-1
38,1543264262.2475438,92,-1
39,1543264262.2477076,312,1
40,1543264262.2518601,54,1
41,1543264262.2520742,54,1
42,1543264262.2893357,60,-1
43,1543264262.290655,60,-1
44,1543264262.2919278,60,-1
45,1543264262.291929,191,-1
46,1543264262.3817265,952,1
47,1543264262.3821769,54,1
48,1543264262.3829165,105,1
49,1543264262.393114,172,1
50,1543264262.4069784,172,1
51,1543264262.4282503,60,-1
52,1543264262.442436,172,1
53,1543264262.4568527,172,1
54,1543264262.466555,60,-1
55,1543264262.4681735,765,1
56,1543264262.4711494,172,1
57,1543264262.4780087,60,-1
58,1543264262.4928691,172,1
59,1543264262.5085726,60,-1
60,1543264262.5121012,417,-1
61,1543264262.5121052,60,-1
62,1543264262.514853,85,1
63,1543264262.5150924,54,1
64,1543264262.5190287,172,1
65,1543264262.5330477,172,1
66,1543264262.5533104,60,-1
67,1543264262.5549326,172,1
68,1543264262.555091,54,1
69,1543264262.5565586,60,-1
70,1543264262.5678775,172,1
71,1543264262.5827982,288,1
72,1543264262.5900512,60,-1
73,1543264262.5921125,190,1
74,1543264262.5932307,1514,1
75,1543264262.5936263,1514,1
76,1543264262.622427,60,-1
77,1543264262.6240084,1514,1
78,1543264262.6251488,181,1
79,1543264262.6328826,60,-1
80,1543264262.6341987,172,1
81,1543264262.6524515,172,1
82,1543264262.6665823,60,-1
83,1543264262.6801531,172,1
84,1543264262.6908689,60,-1
85,1543264262.6939769,172,1
86,1543264262.7149308,172,1
87,1543264262.7293265,60,-1
88,1543264262.729657,172,1
89,1543264262.7568495,172,1
90,1543264262.7634265,145,-1
91,1543264262.7634284,92,-1
92,1543264262.765131,54,1
93,1543264262.7653008,54,1
94,1543264262.7787683,172,1
95,1543264262.7915835,60,-1
96,1543264262.7922735,172,1
97,1543264262.8209405,172,1
98,1543264262.8318932,60,-1
