Serial number,time,size,direction
1,1540246738.9658988,100,1
2,1540246738.9724054,100,-1
3,1540246739.0082242,60,1
4,1540246748.08705,287,-1
5,1540246748.0878246,1514,-1
6,1540246748.0878747,1514,-1
7,1540246748.0881908,1500,-1
8,1540246748.0885224,180,-1
9,1540246748.0885568,1514,-1
10,1540246748.0886183,176,-1
11,1540246748.0908394,287,-1
12,1540246748.0947516,190,-1
13,1540246748.0964203,1514,-1
14,1540246748.1097116,79,-1
15,1540246748.1282732,60,1
16,1540246748.1295254,60,1
17,1540246748.1303122,1514,-1
18,1540246748.131087,1364,-1
19,1540246748.1320977,60,1
20,1540246748.1321018,60,1
21,1540246748.1321034,60,1
22,1540246748.13233,60,1
23,1540246748.1338003,95,-1
24,1540246748.1360528,60,1
25,1540246748.1360555,60,1
26,1540246748.1413417,74,-1
27,1540246748.1663573,60,1
28,1540246748.1709669,60,1
29,1540246748.1846006,66,-1
30,1540246748.2067487,54,-1
31,1540246748.2080977,312,-1
32,1540246748.223126,1514,-1
33,1540246748.223975,1514,-1
34,1540246748.2240016,1514,-1
35,1540246748.2240195,1514,-1
36,1540246748.22524,412,-1
37,1540246748.2410493,146,1
38,1540246748.241052,92,1
39,1540246748.2418852,172,-1
40,1540246748.245974,60,-1
41,1540246748.2465444,54,-1
42,1540246748.2509084,60,-1
43,1540246748.2517018,1514,-1
44,1540246748.2520928,1514,-1
45,1540246748.252428,1514,-1
46,1540246748.2526147,1023,-1
47,1540246748.2535815,54,-1
48,1540246748.253687,54,-1
49,1540246748.255136,54,-1
50,1540246748.2553246,54,-1
51,1540246748.2598104,60,1
52,1540246748.2644703,60,1
53,1540246748.2648854,60,1
54,1540246748.2717817,1023,-1
55,1540246748.2754517,172,-1
56,1540246748.276514,60,1
57,1540246748.278206,66,-1
58,1540246748.2840898,172,-1
59,1540246748.299623,172,-1
60,1540246748.3016899,180,-1
61,1540246748.3104482,60,1
62,1540246748.3124516,172,-1
63,1540246748.3197258,60,1
64,1540246748.3351693,60,1
65,1540246748.342181,105,-1
66,1540246748.3468733,60,1
67,1540246748.3613117,172,-1
68,1540246748.3615563,54,-1
69,1540246748.3617048,766,-1
70,1540246748.3617249,172,-1
71,1540246748.3746781,172,-1
72,1540246748.3952317,172,-1
73,1540246748.3969636,60,1
74,1540246748.3974166,60,1
75,1540246748.4069755,419,-1
